Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Patriots,33,22,66.7,4.7,154,1,0,8,24.2,3
Steelers,29,19,65.5,7,203,2,0,13,44.8,3
Dolphins,33,23,69.7,6,199,1,0,10,30.3,3
Texans,22,17,77.3,7,155,0,1,8,36.4,4
Vikings,34,21,61.8,5,169,2,0,9,26.5,1
Bills,22,14,63.6,5.3,117,1,1,7,31.8,3
Colts,32,24,75,7.4,237,2,1,10,31.2,2
Chiefs,35,22,62.9,7.1,250,1,0,11,31.4,1
Panthers,18,15,83.3,5.1,91,1,0,6,33.3,4
Rams,26,16,61.5,3.6,95,1,0,7,26.9,2
Bears,27,15,55.6,8.8,237,3,0,10,37,1
Lions,39,21,53.8,5.8,226,2,1,10,25.6,0
Broncos,26,20,76.9,7.7,200,2,1,11,42.3,0
Titans,33,23,69.7,8.6,282,1,1,12,36.4,4
Buccaneers,44,33,75,7.4,328,2,1,15,34.1,2
Saints,34,16,47.1,5.3,181,0,3,8,23.5,3
Eagles,54,35,64.8,5.7,306,3,1,18,33.3,2
Chargers,45,28,62.2,10.4,466,3,1,23,51.1,0
Bengals,29,16,55.2,5,144,1,1,9,31,3
Jaguars,39,24,61.5,5.5,215,1,1,12,30.8,4
Commanders,30,21,70,3.8,114,0,0,9,30,3
Giants,25,13,52,5.7,143,0,0,8,32,0
Cardinals,31,19,61.3,5,156,1,1,10,32.3,6
Browns,32,14,43.8,2.1,67,0,0,3,9.4,2
49ers,46,31,67.4,4.3,198,1,2,9,19.6,5
Packers,37,24,64.9,5.1,189,1,1,12,32.4,4
Raiders,34,27,79.4,4.9,166,2,0,11,32.4,2
Seahawks,38,24,63.2,8.8,334,0,0,17,44.7,0
Cowboys,30,17,56.7,2.1,63,0,2,5,16.7,7
Ravens,44,28,63.6,4.4,196,0,0,13,29.6,5
Jets,41,29,70.7,5.3,217,1,3,11,26.8,5
Falcons,38,20,52.6,3.3,127,1,2,9,23.7,2
