Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,187,40.7,1050
Bills,0,0,0,0,210,40.7,1035
Bears,0,0,0,0,239,45.9,1076
Bengals,0,0,0,0,249,53.6,1061
Browns,0,0,0,0,233,45.2,1014
Cowboys,0,0,0,0,212,45.3,1021
Broncos,0,0,0,0,206,44.1,1000
Lions,0,0,0,0,186,39.7,992
Packers,0,0,0,0,282,51.6,1088
Oilers,0,0,0,0,276,50.3,1083
Colts,0,0,0,0,314,51.7,1111
Chiefs,0,0,0,0,213,42,1101
Rams,0,0,0,0,250,42.7,1066
Raiders,0,0,0,0,200,38.2,1115
Dolphins,0,0,0,0,250,50.8,1037
Vikings,0,0,0,0,228,42.2,1053
Patriots,0,0,0,0,310,48.1,1103
Saints,0,0,0,0,253,50.2,1001
Giants,0,0,0,0,211,38.2,1141
Jets,0,0,0,0,223,48,1034
Eagles,0,0,0,0,197,41.4,1027
Cardinals,0,0,0,0,263,51.7,1036
Steelers,0,0,0,0,228,45.6,1081
Chargers,0,0,0,0,228,46.4,1110
49ers,0,0,0,0,228,49.1,1013
Seahawks,0,0,0,0,335,57,1128
Buccaneers,0,0,0,0,246,44.6,1114
Redskins,0,0,0,0,266,50,1015
