Team,FF,FR,FR TD
Seahawks,22,27,2
Patriots,13,17,0
Packers,12,24,0
Rams,12,16,1
Broncos,11,22,0
49ers,11,21,1
Redskins,11,15,0
Bills,10,17,0
Jets,10,15,0
Falcons,9,21,3
Bears,9,22,0
Colts,9,14,0
Chiefs,9,21,3
Dolphins,9,15,1
Saints,9,17,0
Giants,9,17,3
Cardinals,9,17,0
Browns,8,20,0
Cowboys,8,16,1
Lions,8,15,0
Eagles,8,21,2
Oilers,7,13,0
Raiders,7,19,2
Bengals,6,18,1
Vikings,6,19,1
Steelers,4,16,0
Buccaneers,4,14,1
Chargers,3,17,0
