Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,26,17,44,0
Steelers,22,12,36,0
Lions,20,19,40,0
Raiders,20,23,44,0
Jets,18,21,41,0
Cowboys,17,16,35,0
Broncos,17,19,38,0
Packers,17,7,28,0
Rams,17,13,31,0
Redskins,17,21,41,0
Falcons,16,13,30,0
Bengals,16,10,31,0
Giants,16,20,39,0
Bears,15,9,27,0
Browns,13,13,28,0
Patriots,13,10,24,0
Chargers,12,15,30,0
Bills,11,16,30,0
Vikings,11,19,32,0
49ers,11,27,42,0
Colts,10,15,28,0
Cardinals,9,11,21,0
Oilers,7,10,18,0
Chiefs,6,20,32,0
Saints,5,18,24,0
Eagles,2,10,12,0
