Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers,23,28,54,2
Ravens,21,37,60,2
Titans,21,29,52,1
Panthers,20,17,37,1
Rams,20,22,44,1
Vikings,19,26,46,1
Cowboys,18,30,48,2
Packers,18,26,44,3
Cardinals,18,20,38,3
Texans,17,27,46,1
Colts,17,22,42,2
Patriots,17,25,47,2
Chiefs,16,30,48,1
Eagles,16,27,44,4
Browns,15,22,38,1
Seahawks,15,31,48,1
Buccaneers,15,33,50,5
Bills,13,21,35,3
Raiders,13,22,37,0
Saints,12,36,51,0
Chargers,12,24,37,1
Broncos,11,16,27,1
Giants,11,30,43,2
Falcons,10,29,41,2
Dolphins,10,22,34,1
Bengals,9,18,28,2
Redskins,9,18,28,1
Bears,8,20,30,1
Lions,7,28,37,0
Steelers,7,18,27,0
Jets,6,19,29,3
Jaguars,3,24,28,4
