Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Bengals,12.4,38,473,0,8,2,55,11,2
Rams,12.2,40,489,2,6,2,83T,4,3
49ers,11.6,45,521,1,3,2,79T,11,1
Steelers,11.4,61,696,1,11,1,76T,2,5
Seahawks,11,44,484,1,4,2,47T,11,2
Raiders,10,67,667,1,6,1,69T,17,9
Dolphins,9.4,39,365,0,6,0,37,27,1
Jets,9.3,35,324,0,4,0,33,12,2
Bills,9,33,297,1,2,1,65T,8,2
Patriots,9,48,430,0,7,2,55,15,3
Bears,8.9,63,558,0,4,0,28,11,4
Redskins,8.6,55,474,0,5,1,46,2,1
Cardinals,8.5,47,399,0,2,0,39,5,5
Cowboys,8.3,54,446,0,0,0,18,15,1
Chiefs,8.2,42,346,0,4,0,27,15,1
Saints,8.1,33,268,0,1,1,61,18,2
Browns,8,40,322,0,0,0,19,13,0
Broncos,7.8,41,318,0,3,0,35,12,3
Colts,7.3,38,278,0,1,0,35,12,7
Packers,7.3,48,351,0,2,0,39,16,2
Vikings,7,31,217,0,1,0,21,10,4
Lions,6.7,36,241,0,1,0,23,11,4
Giants,6.7,55,368,0,3,0,31,18,1
Falcons,6.4,41,264,0,1,0,37,4,4
Chargers,6.4,33,212,1,1,1,58T,12,6
Eagles,6.2,40,250,0,0,0,16,19,0
Buccaneers,6.1,34,207,0,1,0,21,5,3
Oilers,5.8,26,152,0,0,0,18,8,1
