Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Eagles,30,37,81.1,0_0,5_4,16_13,12_10,0_0,0_0,52,0
Browns,25,35,71.4,3_3,12_12,7_2,9_6,0_0,0_0,60,0
Rams,25,33,75.8,2_2,9_9,13_10,7_3,0_0,0_0,50,1
49ers,25,35,71.4,1_1,8_8,11_8,13_7,0_0,0_0,53,3
Steelers,24,32,75,0_0,9_8,9_6,11_8,0_0,0_0,55,1
Redskins,24,31,77.4,1_1,10_9,13_12,5_1,0_0,0_0,51,1
Cowboys,23,29,79.3,2_2,7_6,9_9,8_4,0_0,0_0,52,1
Chiefs,23,33,69.7,0_0,7_7,11_6,10_8,0_0,0_0,52,1
Cardinals,23,35,65.7,0_0,7_7,9_7,16_8,0_0,0_0,52,5
Bears,22,28,78.6,3_3,7_6,6_5,9_6,0_0,0_0,52,0
Bengals,22,31,71,0_0,10_9,12_10,4_3,0_0,0_0,48,0
Patriots,22,28,78.6,2_2,10_10,7_4,8_6,0_0,0_0,48,0
Broncos,21,28,75,1_1,7_6,8_7,9_6,0_0,0_0,50,0
Falcons,20,27,74.1,0_0,4_4,10_9,9_4,0_0,0_0,52,0
Lions,20,27,74.1,1_1,2_1,7_5,13_12,0_0,0_0,52,1
Raiders,20,27,74.1,1_1,7_7,7_4,11_7,0_0,0_0,50,3
Vikings,20,23,87,2_2,3_3,9_9,5_3,0_0,0_0,54,0
Saints,20,27,74.1,0_0,9_9,5_4,10_5,0_0,0_0,53,1
Chargers,20,29,69,1_1,7_5,5_4,12_9,0_0,0_0,51,1
Seahawks,20,24,83.3,0_0,10_9,4_4,7_6,0_0,0_0,50,0
Buccaneers,19,26,73.1,0_0,7_7,7_6,10_6,0_0,0_0,49,0
Giants,17,33,51.5,1_1,3_3,13_8,12_5,0_0,0_0,48,1
Jets,17,24,70.8,2_2,6_5,8_7,5_2,0_0,0_0,52,2
Oilers,15,19,79,2_2,5_5,5_4,7_4,0_0,0_0,49,0
Colts,14,23,60.9,0_0,5_5,2_1,7_4,0_0,0_0,54,2
Packers,12,21,57.1,0_0,4_2,7_4,8_5,0_0,0_0,51,1
Bills,11,21,52.4,0_0,5_5,6_3,7_2,0_0,0_0,52,2
Dolphins,9,19,47.4,0_0,7_7,5_2,4_0,0_0,0_0,37,1
