Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
49ers,99,6083,21,21.2,78,19.2,0,0,0,0
Dolphins,96,6157,30,31.2,66,20.7,0,0,0,0
Cardinals,90,5075,3,3.3,85,18.3,0,0,0,1
Redskins,89,4858,16,18,69,19.1,0,0,0,1
Seahawks,88,5357,19,21.6,67,16.7,0,0,0,0
Steelers,85,5287,23,27.1,61,21.9,0,0,0,1
Chargers,83,4772,7,8.4,72,19.5,0,1,0,0
Broncos,80,4774,25,31.2,53,21.8,0,0,0,0
Rams,79,4674,4,5.1,74,17.4,0,0,0,0
Raiders,78,4897,16,20.5,61,17.4,0,1,0,0
Patriots,78,4387,4,5.1,73,18.8,0,0,0,0
Packers,77,4276,3,3.9,73,16,0,0,0,0
Bengals,76,4392,6,7.9,69,21,0,0,0,1
Chiefs,75,4491,9,12,64,21.1,0,1,0,0
Buccaneers,75,4211,5,6.7,67,19.9,0,0,0,0
Jets,74,4613,23,31.1,48,21.5,0,1,0,0
Eagles,73,3910,2,2.7,69,18.8,0,0,0,0
Bears,72,4153,4,5.6,65,20.7,0,0,0,1
Cowboys,72,4404,7,9.7,65,20.2,0,0,0,0
Giants,72,4197,15,20.8,51,19.8,0,0,0,0
Lions,67,3989,5,7.5,60,20.8,0,0,0,0
Saints,67,4153,21,31.3,45,20.4,0,0,0,0
Browns,66,4038,13,19.7,52,22.3,0,0,0,0
Vikings,66,3671,1,1.5,59,21.7,0,0,0,0
Falcons,64,3930,16,25,48,21.9,0,0,0,0
Colts,60,3523,17,28.3,39,21,0,0,0,0
Bills,59,3391,14,23.7,44,21.7,0,0,0,0
Oilers,58,3347,6,10.3,51,19.3,0,0,0,0
