Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,102,6612,95,93.1,5,24.2,0,0,1,0
Ravens,101,6503,79,78.2,20,23,0,0,0,0
Dolphins,95,6132,80,84.2,15,30.5,0,0,0,1
49ers,93,5893,58,62.4,32,23.3,0,0,2,0
Bills,91,5692,49,53.8,29,22.4,1,0,1,1
Browns,89,5607,53,59.6,28,21.1,0,0,0,1
Colts,88,5632,68,77.3,14,25.8,0,0,0,0
Rams,88,5605,76,86.4,11,26.9,1,0,0,0
Eagles,88,5651,70,79.6,17,28.9,1,0,0,0
Lions,87,5419,56,64.4,25,20.5,3,0,0,0
Bears,85,5371,68,80,14,25,2,0,0,0
Packers,82,5212,37,45.1,36,23.2,1,0,1,0
Jaguars,82,5162,62,75.6,14,25.4,2,0,0,1
Saints,82,5243,67,81.7,12,18.8,1,0,0,0
Seahawks,82,5169,52,63.4,21,22.4,1,0,1,0
Texans,81,5033,52,64.2,24,22.5,2,1,0,0
Chiefs,81,5305,72,88.9,9,26.9,0,0,0,0
Broncos,79,4993,69,87.3,7,20.9,3,0,0,0
Buccaneers,79,4938,51,64.6,24,18.8,1,0,0,0
Chargers,77,4911,65,84.4,10,19,1,0,0,0
Falcons,76,4933,63,82.9,11,23.7,0,0,1,0
Bengals,76,4778,59,77.6,12,16.8,2,0,0,0
Vikings,76,4871,58,76.3,16,23.7,1,0,1,0
Cardinals,74,4518,61,82.4,6,22.2,5,1,0,0
Raiders,72,4580,44,61.1,26,22.4,1,0,0,0
Steelers,72,4588,51,70.8,18,26.4,0,0,0,0
Commanders,69,4325,62,89.9,4,27.5,3,0,1,0
Jets,68,4344,59,86.8,6,14.7,1,0,0,0
Titans,67,4185,33,49.2,31,23.1,2,0,0,0
Panthers,61,3684,36,59,20,23.9,4,0,1,0
Patriots,59,3713,39,66.1,19,20.7,1,0,0,0
Giants,59,3737,36,61,14,24.2,0,0,1,0
