Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Patriots,27.2,16,436,1,12,3,98T,1,0
Panthers,27.2,22,598,0,18,2,52,0,1
Texans,26.5,22,583,2,14,2,98,1,0
Seahawks,26.2,26,680,0,24,1,66,0,0
Packers,25.4,30,762,0,25,2,51,0,0
Vikings,25.1,17,426,0,12,1,47,1,0
Commanders,25,21,524,0,15,1,40,0,1
Ravens,24.5,13,319,0,8,1,78,4,0
Broncos,24.5,14,343,1,9,1,99T,2,1
Dolphins,24.5,18,441,0,16,0,33,1,0
Colts,24.4,7,171,0,3,1,42,8,0
Browns,24.2,10,242,0,7,0,36,1,0
Raiders,23.6,10,236,0,8,1,40,1,0
Jaguars,23.6,25,589,0,18,1,53,0,0
Steelers,23.5,24,565,0,17,0,37,2,0
Bengals,22.9,15,343,0,10,2,46,0,0
Jets,22.9,22,503,0,15,0,34,1,2
Bears,22.6,19,430,0,14,0,37,2,0
Lions,21.9,18,395,0,10,0,31,2,1
49ers,21.8,20,437,0,11,0,34,0,0
Cardinals,21.5,17,365,0,10,1,40,1,0
Cowboys,21.4,17,364,0,9,2,63,0,0
Saints,21.2,22,466,0,11,0,28,1,1
Titans,20.7,18,372,0,11,0,33,13,0
Bills,20.5,17,349,0,10,1,41,4,0
Buccaneers,20.4,16,327,0,7,0,32,5,0
Chargers,20.1,16,321,0,11,0,27,2,0
Chiefs,19.8,11,218,0,7,0,31,6,0
Eagles,19.6,11,216,0,4,0,38,8,1
Giants,19.2,13,249,0,7,0,36,3,0
Falcons,16.9,14,236,0,5,0,29,0,0
Rams,16.1,9,145,0,4,0,36,14,0
