Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Cowboys,35,100,44,93.6,0,0
Browns,34,91.9,28,90.3,0,0
Texans,33,89.2,29,96.7,2,0
Jets,33,94.3,16,94.1,0,1
Seahawks,33,82.5,32,100,0,0
Bears,32,91.4,31,93.9,0,0
Rams,32,74.4,31,88.6,0,0
Falcons,31,86.1,25,96.2,0,0
Ravens,31,86.1,50,98,0,1
Chiefs,31,93.9,37,100,0,0
Broncos,30,88.2,27,93.1,1,0
Colts,30,81.1,35,97.2,0,0
Titans,29,96.7,24,92.3,0,0
Eagles,29,93.6,44,97.8,0,0
Jaguars,28,80,33,100,0,0
Saints,28,80,34,100,0,1
Steelers,28,93.3,25,96.2,0,0
Chargers,27,93.1,35,100,0,1
Packers,26,83.9,32,86.5,0,0
Cardinals,26,89.7,20,95.2,0,0
Buccaneers,26,92.9,33,100,0,0
Panthers,25,86.2,17,85,0,1
Bengals,25,83.3,36,100,0,1
Bills,24,82.8,46,97.9,0,0
Raiders,24,85.7,29,100,0,0
Dolphins,24,85.7,56,98.2,0,0
Vikings,22,78.6,34,94.4,0,0
49ers,21,87.5,58,100,0,0
Giants,20,71.4,21,95.4,0,1
Lions,18,90,45,93.8,0,0
Commanders,18,78.3,31,91.2,0,0
Patriots,15,62.5,24,96,1,0
