Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,17.2,17,293,0,5,2,52,15,1
Chargers,16,24,385,1,6,1,87T,25,3
Eagles,14.6,28,409,0,7,2,54,15,2
Ravens,14.4,29,417,1,6,2,76T,24,0
Saints,12.5,30,374,1,2,1,76T,23,0
Seahawks,10.4,24,250,0,3,0,32,16,2
Jaguars,10.3,27,278,0,4,1,48,16,2
Bengals,10.3,31,319,1,4,1,81T,14,1
Raiders,10.2,24,245,0,1,0,32,18,2
Jets,10,27,271,1,2,1,65T,30,2
Dolphins,9.8,27,265,0,0,0,19,25,1
Lions,9.7,25,242,0,2,0,25,23,1
Cardinals,9.4,28,264,0,2,1,49,10,1
Chiefs,9.4,38,356,0,6,1,50,15,4
Buccaneers,9.4,25,234,0,1,1,51,15,2
Colts,9.3,26,242,0,2,0,32,21,3
Texans,9.3,27,250,0,2,0,22,23,2
Giants,8.8,32,282,1,1,1,94T,16,7
Bills,8.8,30,264,0,3,0,24,23,3
Browns,8.4,40,337,0,1,0,21,32,2
Bears,8.2,23,188,0,1,0,31,21,2
49ers,8,32,256,0,0,0,19,13,2
Panthers,8,34,271,1,3,1,79T,20,2
Commanders,7.9,35,278,0,3,1,61,14,2
Titans,7.9,42,330,0,1,0,21,13,3
Vikings,7.7,36,276,0,3,0,25,14,1
Falcons,7.3,31,227,0,1,0,23,17,2
Packers,7.3,26,189,0,3,0,35,13,6
Rams,6.8,26,178,0,1,0,29,24,3
Steelers,6.6,25,165,0,1,0,21,12,2
Patriots,5.9,30,178,0,2,0,25,25,5
Cowboys,5.5,17,94,0,0,0,15,23,1
