Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Cowboys,35,35,100,0_0,9_9,13_13,4_4,8_8,1_1,60,0
Browns,34,37,91.9,0_0,8_8,8_8,13_10,8_8,0_0,58,0
Texans,33,37,89.2,0_0,13_13,13_13,4_3,7_4,0_0,54,0
Jets,33,35,94.3,0_0,7_7,10_9,12_12,6_5,0_0,55,1
Seahawks,33,40,82.5,0_0,7_7,11_10,14_12,8_4,0_0,55,0
Bears,32,35,91.4,0_0,9_9,9_9,10_8,7_6,0_0,55,0
Rams,32,43,74.4,0_0,11_11,7_7,15_9,10_5,0_0,54,1
Falcons,31,36,86.1,0_0,10_10,9_9,11_9,6_3,0_0,54,0
Ravens,31,36,86.1,0_0,10_10,9_9,12_11,4_1,1_0,50,1
Chiefs,31,33,93.9,0_0,7_7,15_13,6_6,4_4,1_1,60,0
Broncos,30,34,88.2,0_0,11_11,13_12,5_4,5_3,0_0,52,1
Colts,30,37,81.1,0_0,9_9,8_7,9_7,10_7,1_0,57,1
Titans,29,30,96.7,0_0,9_9,9_9,6_6,6_5,0_0,53,0
Eagles,29,31,93.6,0_0,9_9,7_6,7_7,7_6,1_1,61,0
Jaguars,28,35,80,0_0,4_4,9_9,12_10,10_5,0_0,56,1
Saints,28,35,80,0_0,10_8,6_6,10_8,9_6,0_0,55,0
Steelers,28,30,93.3,0_0,8_8,7_7,8_7,6_6,1_0,57,0
Chargers,27,29,93.1,0_0,6_6,8_8,6_6,9_7,0_0,55,1
Packers,26,31,83.9,0_0,5_5,14_14,7_4,4_3,1_0,53,0
Cardinals,26,29,89.7,0_0,5_5,7_6,6_6,10_8,1_1,62,0
Buccaneers,26,28,92.9,0_0,8_8,10_10,3_2,7_6,0_0,57,2
Panthers,25,29,86.2,0_0,6_6,7_7,9_7,7_5,0_0,56,0
Bengals,25,30,83.3,0_0,5_5,6_6,7_7,12_7,0_0,56,0
Bills,24,29,82.8,0_0,4_4,13_12,6_4,6_4,0_0,54,1
Raiders,24,28,85.7,0_0,9_9,7_6,9_8,3_1,0_0,54,1
Dolphins,24,28,85.7,0_0,6_6,7_7,8_6,7_5,0_0,57,2
Vikings,22,28,78.6,1_1,7_7,8_8,5_2,7_4,0_0,54,1
49ers,21,24,87.5,0_0,7_7,8_8,6_4,3_2,0_0,57,0
Giants,20,28,71.4,0_0,2_2,9_7,10_6,7_5,0_0,57,1
Lions,18,20,90,0_0,3_2,12_12,3_3,2_1,0_0,52,0
Commanders,18,23,78.3,0_0,3_2,6_6,9_7,4_2,1_1,61,1
Patriots,15,24,62.5,0_0,4_4,6_4,10_5,4_2,0_0,56,0
