Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Bills,375,1493,4,11,79,21.1
Broncos,356,1287,3.6,8,80,22.5
Buccaneers,415,1583,3.8,12,75,18.1
Falcons,361,1203,3.3,7,65,18
Jets,400,1659,4.2,11,87,21.8
Cowboys,401,1619,4,10,84,21
49ers,395,1610,4.1,13,91,23
Steelers,479,1642,3.4,8,88,18.4
Jaguars,450,2000,4.4,9,108,24
Giants,476,2004,4.2,13,103,21.6
Oilers,414,1610,3.9,9,81,19.6
Chargers,422,1140,2.7,12,72,17.1
Dolphins,395,1511,3.8,6,75,19
Bears,479,1875,3.9,12,121,25.3
Vikings,404,1614,4,12,102,25.2
Cardinals,492,1989,4,18,117,23.8
Raiders,482,1674,3.5,8,95,19.7
Packers,390,1442,3.7,7,67,17.2
Lions,487,2102,4.3,15,113,23.2
Chiefs,491,1869,3.8,22,119,24.2
Eagles,528,2416,4.6,18,125,23.7
Seahawks,487,1999,4.1,13,111,22.8
Ravens,472,1705,3.6,12,90,19.1
Panthers,491,2133,4.3,14,95,19.4
Bengals,558,2612,4.7,23,142,25.4
Patriots,447,1547,3.5,8,76,17
Redskins,531,2436,4.6,24,127,23.9
Rams,479,2049,4.3,11,92,19.2
Colts,544,2570,4.7,20,131,24.1
Saints,467,1700,3.6,13,86,18.4
