Team,INT,INT TD,INT Yds,Lng
Dolphins,29,4,318,61
Patriots,24,3,255,59
Seahawks,24,8,455,56
Raiders,21,3,420,94
Saints,21,5,466,91
Jets,21,1,263,87T
49ers,21,0,178,37
Cardinals,20,1,235,70T
Chargers,20,1,203,30T
Falcons,19,2,224,36
Panthers,19,2,295,56T
Broncos,19,2,439,80
Vikings,19,3,341,79T
Giants,19,3,217,43
Bills,18,1,204,43T
Ravens,17,2,161,60T
Rams,16,1,201,41T
Steelers,16,3,335,78T
Bears,14,1,129,28
Cowboys,14,1,250,71T
Bengals,13,1,144,58T
Packers,13,1,111,33T
Jaguars,13,0,119,34
Chiefs,13,0,187,28
Redskins,13,0,190,54
Lions,12,1,132,34T
Oilers,12,2,98,33
Buccaneers,12,1,212,56T
Eagles,9,0,158,33
Colts,8,0,97,30
