Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Bills,33,2071,22,66.7,10,21.5,1,0,1,0
49ers,33,2083,21,63.6,10,20.8,0,0,2,0
Cowboys,32,2084,31,96.9,1,28,0,0,0,0
Dolphins,32,2095,27,84.4,5,36.8,0,0,0,1
Eagles,30,1952,27,90,3,30.3,0,0,0,0
Lions,29,1874,16,55.2,13,21.9,0,0,0,0
Colts,28,1792,20,71.4,5,17.8,0,0,0,0
Chiefs,28,1836,27,96.4,1,22,0,0,0,0
Broncos,27,1658,24,88.9,1,20,2,0,0,0
Texans,27,1743,16,59.3,9,21.6,0,0,0,0
Bears,26,1641,22,84.6,3,18.3,1,0,0,0
Rams,26,1615,23,88.5,2,25,1,0,0,0
Saints,25,1635,22,88,3,22,0,0,0,0
Jets,25,1610,22,88,2,5.5,0,0,0,0
Cardinals,25,1632,23,92,2,19.5,0,0,0,0
Ravens,24,1554,22,91.7,2,21.5,0,0,0,0
Packers,24,1508,14,58.3,9,21.3,1,0,0,0
Titans,24,1542,14,58.3,9,22.7,0,0,0,0
Jaguars,24,1536,18,75,4,33,0,0,0,1
Seahawks,24,1544,19,79.2,3,21.3,0,0,0,0
Vikings,23,1437,19,82.6,3,22.3,1,0,0,0
Panthers,22,1259,12,54.6,7,25.6,3,0,0,0
Steelers,22,1434,21,95.4,1,35,0,0,0,0
Chargers,22,1433,21,95.4,1,40,0,0,0,0
Commanders,22,1430,22,100,0,0,0,0,0,0
Falcons,21,1374,18,85.7,2,27.5,0,0,0,0
Bengals,21,1343,18,85.7,2,16,0,0,0,0
Buccaneers,20,1282,14,70,5,20.2,0,0,0,0
Browns,19,1213,12,63.2,6,18.3,0,0,0,0
Raiders,19,1250,15,79,4,27.8,0,0,0,0
Giants,18,1168,15,83.3,3,24.7,0,0,0,0
Patriots,15,952,11,73.3,4,21,0,0,0,0
