Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Seahawks,48.8,634,13,53.5,73,695,5,1,3,2,1,6,21,0,0
Raiders,48.5,873,18,51,70,918,10,2,2,1,7,6,25,0,0
Cowboys,45.3,679,15,51.3,57,769,5,0,1,1,4,9,70,0,0
Chiefs,45.2,678,15,48.9,58,733,7,1,3,1,5,5,35,0,0
Vikings,44.7,715,16,51.8,61,829,3,2,2,2,1,9,74,0,0
Jaguars,44.5,890,20,48.4,60,967,13,3,2,2,6,7,37,0,0
Giants,44.5,934,21,48.4,62,1016,7,0,3,1,10,7,62,0,0
Falcons,44.4,1065,24,47.8,62,1148,8,4,1,1,9,9,63,0,0
Jets,44.1,1102,25,47.8,58,1195,9,3,2,2,11,7,53,0,0
Panthers,43.6,1004,23,47.6,69,1094,9,1,5,1,7,9,70,0,0
Titans,43.1,776,18,51.3,74,923,7,4,0,3,1,10,87,0,0
49ers,43,645,15,46.1,67,691,10,2,4,1,4,4,26,0,0
Buccaneers,43,774,18,53.2,74,958,9,2,2,2,3,9,144,0,0
Dolphins,42.2,422,10,43.7,55,437,1,2,0,0,5,3,15,0,0
Rams,42.1,673,16,49.8,72,797,6,2,0,0,5,9,124,0,0
Browns,41.9,963,23,47,67,1081,7,7,1,1,6,8,98,0,0
Lions,41.8,753,18,45.4,62,817,9,0,3,0,6,9,64,0,0
Broncos,40.6,731,18,44,61,792,6,2,1,0,7,8,61,0,0
Bills,40.4,525,13,47.4,70,616,5,2,1,1,4,5,71,1,0
Steelers,40,1200,30,46.4,63,1392,11,4,4,4,6,12,112,0,0
Cardinals,39.7,675,17,47.7,62,811,2,1,1,1,3,11,116,0,0
Saints,39.6,1109,28,43.3,55,1213,11,4,3,2,7,12,64,0,0
Commanders,39.4,749,19,47.4,66,900,5,0,3,0,4,12,151,0,0
Bengals,39.4,1023,26,43.9,62,1142,5,4,0,2,10,10,79,0,0
Ravens,39.1,978,25,47.3,67,1183,11,3,3,1,9,9,185,1,1
Patriots,38.9,1167,30,43.9,65,1318,16,4,1,1,11,13,131,0,0
Chargers,38.7,619,16,40.7,62,651,5,1,3,1,8,3,12,0,0
Bears,38.7,735,19,47,58,894,5,2,3,1,3,10,139,0,0
Eagles,38.5,501,13,42.7,54,555,5,0,1,0,6,6,54,0,0
Colts,38.4,846,22,45.3,54,996,7,3,3,0,3,13,150,0,0
Texans,38.2,765,20,41.2,54,824,4,4,2,2,8,4,19,0,0
Packers,38.1,839,22,47.4,68,1044,4,0,1,3,9,9,145,1,0
