Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Eagles,16,94.1,11,91.7,0,0
Texans,15,93.8,10,100,1,0
Cowboys,14,100,10,90.9,0,0
Titans,13,100,7,100,0,0
Rams,12,75,10,100,0,0
Saints,11,91.7,9,100,0,1
Jets,11,91.7,6,100,0,1
Chiefs,10,100,14,100,0,0
Steelers,10,100,5,100,0,0
Falcons,9,90,6,85.7,0,0
Bills,9,100,18,100,0,0
Panthers,9,90,8,100,0,0
Bengals,9,81.8,8,100,0,1
Colts,9,90,11,100,0,0
Jaguars,9,81.8,10,100,0,0
Cardinals,9,90,7,87.5,0,0
49ers,9,100,20,100,0,0
Seahawks,9,69.2,10,100,0,0
Bears,8,100,11,100,0,0
Browns,8,88.9,4,100,0,0
Broncos,8,88.9,11,91.7,1,0
Commanders,8,72.7,9,100,0,0
Packers,7,100,10,100,0,0
Giants,7,70,5,100,0,0
Buccaneers,7,87.5,7,100,0,0
Chargers,6,85.7,12,100,0,0
Ravens,5,71.4,12,100,0,0
Lions,5,100,19,100,0,0
Raiders,5,71.4,8,100,0,0
Dolphins,5,71.4,22,95.6,0,0
Vikings,4,100,14,100,0,0
Patriots,4,50,5,100,0,0
