Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Eagles,16,17,94.1,0_0,4_4,5_5,3_3,4_3,1_1,61,0
Texans,15,16,93.8,0_0,4_4,9_9,2_2,1_0,0_0,43,0
Cowboys,14,14,100,0_0,7_7,4_4,1_1,2_2,0_0,55,0
Titans,13,13,100,0_0,3_3,4_4,3_3,3_3,0_0,53,0
Rams,12,16,75,0_0,1_1,3_3,7_5,5_3,0_0,54,1
Saints,11,12,91.7,0_0,4_4,3_3,2_1,3_3,0_0,54,0
Jets,11,12,91.7,0_0,4_4,4_4,2_2,2_1,0_0,52,0
Chiefs,10,10,100,0_0,1_1,7_7,2_2,0_0,0_0,41,0
Steelers,10,10,100,0_0,2_2,1_1,4_4,3_3,0_0,57,0
Falcons,9,10,90,0_0,3_3,4_4,3_2,0_0,0_0,49,0
Bills,9,9,100,0_0,1_1,4_4,1_1,3_3,0_0,54,0
Panthers,9,10,90,0_0,1_1,2_2,3_3,4_3,0_0,56,0
Bengals,9,11,81.8,0_0,2_2,0_0,5_5,4_2,0_0,54,0
Colts,9,10,90,0_0,1_1,2_2,3_2,4_4,0_0,54,0
Jaguars,9,11,81.8,0_0,1_1,3_3,5_4,2_1,0_0,56,1
Cardinals,9,10,90,0_0,1_1,4_4,2_2,2_1,1_1,62,0
49ers,9,9,100,0_0,4_4,2_2,2_2,1_1,0_0,57,0
Seahawks,9,13,69.2,0_0,1_1,7_6,3_2,2_0,0_0,43,0
Bears,8,8,100,0_0,3_3,2_2,2_2,1_1,0_0,52,0
Browns,8,9,88.9,0_0,0_0,1_1,5_4,3_3,0_0,55,0
Broncos,8,9,88.9,0_0,4_4,3_3,0_0,2_1,0_0,51,0
Commanders,8,11,72.7,0_0,1_1,3_3,4_2,3_2,0_0,51,0
Packers,7,7,100,0_0,1_1,4_4,0_0,2_2,0_0,52,0
Giants,7,10,70,0_0,0_0,3_2,3_2,4_3,0_0,57,1
Buccaneers,7,8,87.5,0_0,3_3,2_2,1_0,2_2,0_0,57,1
Chargers,6,7,85.7,0_0,2_2,3_3,0_0,2_1,0_0,50,0
Ravens,5,7,71.4,0_0,1_1,1_1,2_2,2_1,1_0,50,0
Lions,5,5,100,0_0,1_1,4_4,0_0,0_0,0_0,38,0
Raiders,5,7,71.4,0_0,4_4,0_0,1_1,2_0,0_0,47,1
Dolphins,5,7,71.4,0_0,2_2,0_0,4_3,1_0,0_0,45,1
Vikings,4,4,100,0_0,3_3,0_0,1_1,0_0,0_0,40,0
Patriots,4,8,50,0_0,1_1,0_0,4_2,3_1,0_0,51,0
