Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,23.3,3,70,0,2,1,45,4,1
Saints,18.3,9,165,1,2,1,76T,10,0
Bengals,16.9,13,220,1,3,1,81T,3,1
Eagles,16.9,11,186,0,4,1,52,5,1
Seahawks,16.4,5,82,0,1,0,23,4,0
Jets,13.7,10,137,1,1,1,65T,7,2
Colts,12.3,7,86,0,1,0,32,8,0
Ravens,10.7,10,107,0,2,0,31,9,0
49ers,10.7,13,139,0,0,0,19,6,0
Jaguars,10.6,8,85,0,1,1,48,8,0
Chargers,10.5,8,84,0,1,0,20,1,1
Packers,10.4,9,94,0,2,0,35,4,1
Titans,10,11,110,0,1,0,21,4,0
Texans,9.6,8,77,0,0,0,14,8,1
Dolphins,9.5,6,57,0,0,0,18,9,0
Lions,9.1,8,73,0,0,0,17,9,0
Bears,8.2,5,41,0,0,0,11,5,0
Bills,8,5,40,0,1,0,23,9,1
Commanders,7.6,7,53,0,1,0,20,5,0
Raiders,7.3,7,51,0,0,0,16,3,1
Cardinals,7.2,9,65,0,0,0,19,4,0
Chiefs,6.8,11,75,0,1,0,23,6,1
Cowboys,6.7,6,40,0,0,0,12,9,0
Browns,6.2,8,50,0,0,0,13,7,1
Buccaneers,6.1,7,43,0,0,0,16,4,1
Giants,6,4,24,0,0,0,14,4,1
Patriots,5.9,12,71,0,1,0,21,8,2
Panthers,5.8,11,64,0,0,0,15,3,0
Falcons,5.6,8,45,0,0,0,16,8,0
Steelers,5.4,7,38,0,0,0,14,4,1
Rams,5.1,7,36,0,0,0,11,6,0
Vikings,4.9,10,49,0,1,0,20,5,1
