Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Bears,610,2761,4.5,27,9,1,40T,176,28.8,14
Giants,581,2451,4.2,24,12,5,65,137,23.6,21
Redskins,571,2523,4.4,20,16,2,66T,147,25.7,15
Patriots,565,2331,4.1,15,11,3,65,127,22.5,22
Jets,564,2312,4.1,18,11,1,69T,119,21.1,12
Falcons,560,2466,4.4,14,11,3,50,149,26.6,7
Steelers,541,2177,4,14,6,1,56,123,22.7,18
Browns,533,2285,4.3,16,15,3,61,119,22.3,22
Raiders,532,2262,4.2,18,9,1,61,111,20.9,15
Bengals,503,2183,4.3,20,13,0,39,126,25,20
Rams,503,2057,4.1,15,8,3,43,115,22.9,14
Broncos,497,1851,3.7,20,5,1,42,113,22.7,12
Colts,485,2439,5,22,17,1,67,132,27.2,8
49ers,477,2232,4.7,20,7,1,62,139,29.1,14
Packers,470,2208,4.7,16,20,1,80,114,24.3,22
Cowboys,462,1741,3.8,11,10,1,60T,95,20.6,12
Seahawks,462,1644,3.6,9,6,0,38,96,20.8,13
Lions,452,1538,3.4,13,5,0,29,89,19.7,15
Dolphins,444,1729,3.9,19,6,0,33,117,26.4,13
Chargers,440,1665,3.8,20,8,2,56T,92,20.9,25
Buccaneers,434,1644,3.8,11,5,0,28,95,21.9,14
Saints,431,1683,3.9,4,8,2,45T,83,19.3,13
Oilers,428,1570,3.7,13,5,1,43,95,22.2,19
Chiefs,428,1486,3.5,10,6,1,54T,78,18.2,10
Eagles,428,1630,3.8,8,8,3,74T,82,19.2,8
Cardinals,417,1974,4.7,14,15,3,64,109,26.1,19
Bills,412,1611,3.9,13,4,1,77,86,20.9,19
Vikings,406,1516,3.7,19,8,0,37,95,23.4,12
