Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Chargers,632,386,61.1,8.2,5175,37,30,86.8,259,41,78,11,75T,39,305
Broncos,617,329,53.3,6.4,3952,23,23,70.1,192,31.1,46,11,65,38,307
Cowboys,587,344,58.6,7.2,4236,27,25,78.6,206,35.1,47,9,58,44,375
Dolphins,576,343,59.6,7.4,4278,31,21,85.4,218,37.8,50,13,73T,19,164
Vikings,576,311,54,6.8,3931,22,29,67.3,188,32.6,53,13,57,45,296
Seahawks,575,304,52.9,6.6,3820,28,23,73.4,179,31.1,59,6,54T,53,457
Eagles,567,290,51.2,7.1,4036,19,28,65,190,33.5,60,6,99,55,450
49ers,550,331,60.2,7.2,3987,28,14,88.8,178,32.4,48,10,73,42,299
Cardinals,534,296,55.4,6.7,3581,19,18,74,171,32,42,8,47T,65,469
Bengals,518,302,58.3,7.9,4082,31,13,93,190,36.7,56,13,71,41,365
Bills,517,263,50.9,6.4,3331,9,31,52.1,151,29.2,49,9,60T,42,347
Packers,513,267,52,6.9,3552,21,27,66,172,33.5,53,4,63T,50,389
Oilers,512,277,54.1,6.9,3523,18,22,69.6,148,28.9,59,9,80,58,441
Steelers,512,254,49.6,6.6,3397,23,27,64.1,166,32.4,39,11,69T,33,224
Redskins,512,280,54.7,6.3,3243,13,21,65.4,158,30.9,35,8,55,52,428
Chiefs,511,267,52.2,7.3,3726,23,23,72.3,159,31.1,62,10,84,43,335
Saints,508,260,51.2,6.4,3257,20,23,65.7,148,29.1,46,6,76,58,461
Buccaneers,508,269,53,6.7,3423,22,26,67.4,165,32.5,48,6,59,40,301
Raiders,506,269,53.2,6.9,3481,20,24,68.5,167,33,50,11,59T,43,335
Giants,497,275,55.3,7.7,3829,22,20,78.3,193,38.8,54,10,70T,52,396
Jets,497,303,61,8,3983,25,8,96.3,204,41,41,9,96T,62,399
Colts,468,235,50.2,6,2811,15,20,61.8,130,27.8,38,4,80,35,244
Falcons,462,254,55,6.6,3025,13,20,66.5,131,28.4,36,5,62,69,531
Lions,462,254,55,7.2,3316,19,21,72.6,151,32.7,51,8,56,53,378
Patriots,457,255,55.8,7.6,3483,20,22,74.9,154,33.7,57,10,90,39,315
Bears,432,237,54.9,7.6,3303,17,16,77.3,145,33.6,54,10,70T,43,227
Browns,414,222,53.6,7,2885,17,13,76.4,128,30.9,41,7,72,36,249
Rams,403,234,58.1,7.1,2872,16,14,78.9,131,32.5,39,5,64T,57,409
