Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Chargers,386,5175,13.4,37,78,11,75,259,67.1,7
Cowboys,344,4236,12.3,27,47,9,58,206,59.9,10
Dolphins,343,4278,12.5,31,50,13,73,218,63.6,10
49ers,331,3987,12,28,48,10,73,178,53.8,6
Broncos,329,3952,12,23,46,11,65,192,58.4,3
Vikings,311,3931,12.6,22,53,13,57,188,60.4,5
Seahawks,304,3820,12.6,28,59,6,54,179,58.9,7
Jets,303,3983,13.2,25,40,9,96,204,67.3,6
Bengals,302,4082,13.5,31,56,13,71,190,62.9,4
Cardinals,296,3581,12.1,19,42,8,47T,171,57.8,2
Eagles,290,4036,13.9,19,60,6,99T,190,65.5,5
Redskins,280,3243,11.6,13,35,8,55,158,56.4,2
Oilers,277,3523,12.7,18,59,9,80,148,53.4,4
Giants,275,3829,13.9,22,54,10,70,193,70.2,2
Raiders,269,3481,12.9,20,50,11,59,167,62.1,1
Buccaneers,269,3423,12.7,22,48,6,59,165,61.3,8
Packers,267,3552,13.3,21,53,4,63,172,64.4,7
Chiefs,267,3726,14,23,62,10,84,159,59.6,2
Bills,263,3331,12.7,9,49,9,60T,151,57.4,3
Saints,260,3257,12.5,20,46,6,76,148,56.9,2
Patriots,255,3483,13.7,20,57,10,90,154,60.4,4
Falcons,254,3025,11.9,13,36,5,62,131,51.6,4
Lions,254,3316,13.1,19,51,8,56,151,59.4,5
Steelers,254,3397,13.4,23,39,11,69,166,65.4,1
Bears,237,3303,13.9,17,54,10,70,145,61.2,4
Colts,235,2811,12,15,38,4,80,130,55.3,9
Rams,234,2872,12.3,16,39,5,64,131,56,8
Browns,222,2885,13,17,41,7,72,128,57.7,5
