Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Vikings,35,92.1,36,100,1,1
Falcons,33,86.8,44,100,0,0
Giants,33,84.6,46,100,1,0
Lions,32,88.9,38,100,0,0
Texans,31,81.6,45,100,0,0
Raiders,31,91.2,25,100,0,0
Ravens,30,90.9,42,100,2,1
Bengals,30,85.7,43,100,0,1
Browns,29,93.6,29,100,0,1
Cowboys,29,93.6,37,100,0,1
Patriots,29,82.9,66,100,1,1
Niners,29,69,44,100,0,0
Chiefs,28,82.4,17,100,0,0
Steelers,28,90.3,34,100,0,0
Buccaneers,28,84.8,39,100,0,0
Bears,27,81.8,40,100,0,0
Eagles,27,87.1,25,96.2,0,1
Broncos,26,81.2,55,100,1,1
Colts,26,78.8,37,100,1,1
Titans,25,80.6,35,100,1,3
Jaguars,25,89.3,18,94.7,0,0
Cardinals,25,89.3,25,100,0,0
Chargers,25,92.6,39,100,1,1
Seahawks,24,88.9,46,95.8,1,0
Redskins,24,80,50,98,0,0
Rams,23,74.2,26,100,0,0
Dolphins,23,76.7,29,100,1,1
Bills,21,87.5,39,100,1,2
Packers,21,63.6,50,100,0,1
Jets,21,77.8,30,100,1,1
Saints,18,81.8,57,100,0,0
Panthers,16,76.2,43,97.7,0,0
