Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Ravens,27.3,60,1636,2,48,6,108,0,2
Seahawks,27.1,29,787,1,19,5,98,0,1
Bills,27,42,1136,1,35,4,89,0,0
Dolphins,27,40,1082,1,31,4,96T,0,1
Vikings,26.6,44,1171,1,32,6,105,1,2
Giants,26.2,63,1648,1,43,8,97T,0,1
Jets,26.2,50,1308,1,35,7,100T,0,3
Browns,25.4,50,1269,0,39,3,74T,0,1
Steelers,25.3,43,1086,0,29,6,68T,1,0
Packers,25,43,1074,0,35,3,46,0,1
Saints,24.8,51,1266,0,37,2,75T,0,1
Niners,24.8,49,1216,0,34,3,94,0,2
Chargers,23.9,40,957,1,27,1,99,0,0
Falcons,23.7,27,640,0,20,2,77,0,0
Titans,23.6,63,1489,1,40,2,105T,0,0
Redskins,23.5,38,892,0,24,3,55,0,1
Cardinals,23.2,40,930,0,25,2,65,0,2
Broncos,23.1,28,646,1,14,3,105,0,2
Bengals,22.6,41,928,0,24,2,45,0,2
Colts,22.3,43,957,1,20,2,101T,0,2
Raiders,22.3,42,935,0,26,2,51,0,0
Panthers,22.2,39,867,0,31,0,35,0,1
Texans,21.7,44,953,0,26,1,54,0,0
Chiefs,21.6,49,1059,0,32,1,41,0,1
Patriots,21.2,38,807,1,20,1,104,0,1
Rams,21,38,799,0,22,1,48,0,2
Jaguars,21,53,1114,0,34,0,38T,0,0
Eagles,21,60,1259,0,39,1,44,0,2
Cowboys,20.6,36,741,0,22,1,44,0,3
Buccaneers,20.3,31,630,0,17,1,55,0,1
Lions,20,34,681,0,19,1,40,0,1
Bears,19.8,47,929,0,25,2,40T,0,1
