Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
49ers,432,4779,11.1,29,54,12,81,231,53.5,9
Vikings,402,4500,11.2,33,53,12,85,223,55.5,4
Dolphins,384,4398,11.4,28,47,7,67,225,58.6,3
Packers,372,4539,12.2,39,60,5,99,235,63.2,1
Rams,366,4113,11.2,27,50,6,72T,199,54.4,8
Falcons,364,4456,12.2,26,62,11,62,216,59.3,4
Lions,362,4510,12.5,33,57,10,91,230,63.5,4
Patriots,351,3789,10.8,14,36,3,72T,207,59,6
Broncos,350,4260,12.2,27,54,10,62,205,58.6,6
Saints,349,4002,11.5,26,52,7,70,202,57.9,5
Steelers,348,4093,11.8,21,56,5,71,193,55.5,6
Bengals,334,3915,11.7,29,42,10,88,184,55.1,4
Jets,330,3129,9.5,20,30,3,43,159,48.2,5
Cardinals,327,3893,11.9,17,59,4,48,184,56.3,2
Browns,324,3772,11.6,21,51,8,70,189,58.3,6
Cowboys,322,3741,11.6,18,44,8,50,195,60.6,2
Chargers,318,3706,11.6,17,38,5,51,185,58.2,4
Raiders,317,3787,12,25,42,11,80,189,59.6,4
Bears,315,3838,12.2,29,42,13,76,201,63.8,1
Oilers,314,3512,11.2,22,38,10,76,157,50,5
Chiefs,300,3178,10.6,21,31,5,60,164,54.7,1
Eagles,284,2931,10.3,11,27,0,37T,145,51.1,7
Bills,279,3348,12,24,39,11,77,142,50.9,3
Jaguars,275,3144,11.4,19,35,2,71T,154,56,2
Seahawks,273,3359,12.3,19,42,8,59,171,62.6,4
Colts,270,3373,12.5,20,40,8,52T,147,54.4,2
Buccaneers,267,3341,12.5,5,44,6,64T,159,59.6,4
Redskins,265,3496,13.2,16,54,10,73,169,63.8,4
Panthers,263,3304,12.6,16,41,11,89,157,59.7,4
Giants,260,2863,11,11,31,5,57,150,57.7,3
