Team,Rsh TD,Rec TD,Tot TD,2-PT
Cowboys,29,18,51,0
Seahawks,20,19,40,0
Eagles,19,11,32,0
49ers,19,29,55,1
Buccaneers,19,5,25,0
Giants,17,11,32,1
Steelers,17,21,42,1
Lions,16,33,49,0
Dolphins,16,28,45,0
Patriots,16,14,31,1
Bears,15,29,46,0
Redskins,15,16,34,0
Broncos,14,27,41,1
Colts,14,20,36,0
Chiefs,14,21,40,0
Chargers,14,17,35,0
Oilers,12,22,38,2
Saints,11,26,38,0
Bills,10,24,37,0
Panthers,10,16,29,0
Raiders,10,25,38,0
Vikings,10,33,46,1
Packers,9,39,48,0
Jaguars,9,19,31,0
Falcons,8,26,38,0
Bengals,7,29,37,1
Browns,5,21,29,1
Rams,5,27,34,0
Cardinals,3,17,26,0
Jets,2,20,25,0
