Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Patriots,389,4619,11.9,32,63,10,64,231,59.4,2
Saints,386,4334,11.2,23,72,11,54T,201,52.1,5
Steelers,384,4534,11.8,29,56,16,97,217,56.5,4
Buccaneers,378,4607,12.2,26,47,6,70,243,64.3,6
Lions,374,4470,12,29,61,16,71,210,56.2,2
Dolphins,373,3792,10.2,24,41,5,65,187,50.1,10
Giants,373,3680,9.9,20,33,6,77,178,47.7,1
Chargers,366,4551,12.4,28,61,12,75,220,60.1,3
Ravens,363,3235,8.9,20,29,5,66,168,46.3,4
Chiefs,363,4326,11.9,26,54,14,79,198,54.6,2
49ers,362,4235,11.7,15,49,14,83,206,56.9,2
Vikings,357,3929,11,25,53,9,65,196,54.9,4
Packers,352,3532,10,25,38,8,72,176,50,2
Raiders,347,3761,10.8,23,47,10,87,178,51.3,9
Redskins,347,4093,11.8,27,59,9,74,191,55,4
Falcons,343,4146,12.1,21,55,9,88,200,58.3,1
Eagles,341,3967,11.6,38,43,9,72,193,56.6,2
Seahawks,340,3979,11.7,34,58,12,74,183,53.8,1
Cardinals,339,3979,11.7,21,55,5,52,200,59,3
Broncos,332,3668,11,19,55,3,54,180,54.2,3
Jets,323,3501,10.8,19,46,8,69,157,48.6,5
Rams,320,4023,12.6,28,57,13,94,185,57.8,5
Jaguars,316,3716,11.8,21,42,7,75T,193,61.1,4
Browns,312,3537,11.3,15,53,5,56,157,50.3,4
Cowboys,309,3326,10.8,22,34,8,81,162,52.4,2
Titans,306,3394,11.1,14,39,6,75,157,51.3,3
Bengals,304,3386,11.1,25,34,9,77,165,54.3,6
Texans,299,3644,12.2,28,53,6,72,180,60.2,2
Panthers,293,3319,11.3,22,46,5,64,166,56.7,1
Bears,291,3085,10.6,13,30,4,70,144,49.5,1
Bills,289,3086,10.7,16,40,4,47T,149,51.6,3
Colts,285,3226,11.3,13,36,9,80,148,51.9,4
