Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Giants,127,45,11,4,70,24.9,622
Saints,138,48,10,5,56,21.2,619
Colts,146,56,16,10,80,25.2,695
Falcons,128,44,10,5,55,19.9,620
Browns,112,29,5,3,37,17.1,482
Vikings,140,61,15,9,65,24.4,647
Bears,132,60,13,8,47,19.9,616
Patriots,139,55,12,8,57,19.9,657
Panthers,110,39,7,5,71,25.8,545
Commanders,138,53,14,9,63,23.5,659
Ravens,151,55,18,6,55,22.5,654
Lions,103,36,14,8,41,21.4,534
Rams,117,48,11,7,64,24.4,570
Eagles,115,49,21,9,33,20.6,552
Cardinals,126,56,10,4,88,27.6,648
Cowboys,113,37,18,10,51,21.2,519
Chargers,115,39,23,15,54,24.1,604
Packers,129,49,15,10,74,25.9,584
Texans,124,52,9,4,61,25.5,575
Buccaneers,125,59,9,4,47,22.3,575
Steelers,126,52,12,5,57,21.8,610
Bills,134,56,11,5,53,21.2,611
Jets,136,54,4,3,65,22.4,600
Jaguars,123,42,24,11,48,23.3,586
Bengals,109,47,8,2,72,29.6,568
Raiders,132,57,14,7,75,25.3,643
Titans,123,50,8,5,52,20.4,565
Chiefs,115,42,16,7,52,23.4,543
Broncos,99,38,15,7,69,27,564
Seahawks,132,60,16,6,60,24.5,618
Dolphins,114,42,16,7,68,27.8,573
49ers,113,45,11,5,49,26.3,553
