Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,244,1005,4.1,4,55,22.5
Browns,216,824,3.8,9,37,17.1
Falcons,276,1084,3.9,4,55,19.9
Bears,236,760,3.2,4,47,19.9
Giants,281,1312,4.7,16,70,24.9
Eagles,160,597,3.7,3,33,20.6
Colts,318,1297,4.1,15,80,25.2
Saints,264,1136,4.3,6,56,21.2
Lions,192,712,3.7,7,41,21.4
49ers,186,748,4,4,49,26.3
Cardinals,319,1342,4.2,14,88,27.6
Cowboys,241,982,4.1,7,51,21.2
Bills,250,1152,4.6,6,53,21.2
Jaguars,206,778,3.8,6,48,23.3
Texans,239,842,3.5,11,61,25.5
Raiders,296,1356,4.6,10,75,25.3
Patriots,287,977,3.4,9,57,19.9
Chargers,224,918,4.1,11,54,24.1
Rams,262,1105,4.2,10,64,24.4
Broncos,256,1425,5.6,10,69,27
Vikings,266,988,3.7,7,65,24.4
Steelers,261,1181,4.5,5,57,21.8
Buccaneers,211,785,3.7,4,47,22.3
Dolphins,245,956,3.9,9,68,27.8
Chiefs,222,1010,4.6,3,52,23.4
Packers,286,1197,4.2,9,74,25.9
Titans,255,995,3.9,5,52,20.4
Seahawks,245,1044,4.3,10,60,24.5
Panthers,275,1187,4.3,15,71,25.8
Commanders,268,1166,4.4,6,63,23.5
Jets,290,1246,4.3,5,65,22.4
Bengals,243,1226,5,9,72,29.6
