Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,109,19.6,1073
Bills,0,0,0,0,137,22.2,891
Bears,0,0,0,0,100,19.3,1024
Bengals,0,0,0,0,133,25.2,1052
Browns,0,0,0,0,136,23.6,1012
Cowboys,0,0,0,0,105,21,979
Broncos,0,0,0,0,100,19.9,1033
Lions,0,0,0,0,142,22.3,1086
Packers,0,0,0,0,162,25.4,1045
Oilers,0,0,0,0,125,24,1037
Colts,0,0,0,0,106,19,1009
Chiefs,0,0,0,0,102,19.5,1088
Rams,0,0,0,0,115,21,1055
Raiders,0,0,0,0,137,25.7,1038
Dolphins,0,0,0,0,87,18,938
Vikings,0,0,0,0,148,25.4,1037
Patriots,0,0,0,0,118,23.8,949
Saints,0,0,0,0,147,28.2,1055
Giants,0,0,0,0,130,21,1113
Jets,0,0,0,0,107,21.3,1094
Eagles,0,0,0,0,128,24.8,954
Cardinals,0,0,0,0,125,22,1074
Steelers,0,0,0,0,95,18.8,1037
Chargers,0,0,0,0,117,24.6,990
49ers,0,0,0,0,136,25,1015
Seahawks,0,0,0,0,146,27.4,1077
Buccaneers,0,0,0,0,116,21.5,1014
Redskins,0,0,0,0,126,23.3,1058
