Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Bills,29,1867,20,69,9,22.8,0,0,0,0
Cowboys,29,1889,28,96.6,1,28,0,0,0,0
Dolphins,27,1760,23,85.2,4,41,0,0,0,1
49ers,26,1656,18,69.2,6,23.3,0,0,2,0
Eagles,25,1627,22,88,3,30.3,0,0,0,0
Seahawks,24,1544,19,79.2,3,21.3,0,0,0,0
Chiefs,23,1511,22,95.6,1,22,0,0,0,0
Rams,23,1420,20,87,2,25,1,0,0,0
Lions,22,1416,12,54.6,10,21,0,0,0,0
Colts,22,1413,16,72.7,4,19.2,0,0,0,0
Chargers,22,1433,21,95.4,1,40,0,0,0,0
Broncos,21,1266,19,90.5,0,0,2,0,0,0
Texans,21,1366,12,57.1,7,22.7,0,0,0,0
Cardinals,21,1372,19,90.5,2,19.5,0,0,0,0
Ravens,20,1300,20,100,0,0,0,0,0,0
Packers,20,1247,11,55,8,20.4,1,0,0,0
Buccaneers,20,1282,14,70,5,20.2,0,0,0,0
Browns,19,1213,12,63.2,6,18.3,0,0,0,0
Titans,19,1221,11,57.9,8,23.1,0,0,0,0
Jaguars,19,1216,15,79,4,33,0,0,0,1
Vikings,18,1120,15,83.3,2,23.5,1,0,0,0
Saints,18,1176,17,94.4,1,24,0,0,0,0
Falcons,17,1114,14,82.4,2,27.5,0,0,0,0
Panthers,17,986,9,52.9,6,26.2,2,0,0,0
Bears,17,1056,13,76.5,3,18.3,1,0,0,0
Jets,17,1090,14,82.4,2,5.5,0,0,0,0
Steelers,17,1109,16,94.1,1,35,0,0,0,0
Commanders,17,1105,17,100,0,0,0,0,0,0
Raiders,15,990,11,73.3,4,27.8,0,0,0,0
Bengals,14,888,11,78.6,2,16,0,0,0,0
Patriots,14,891,11,78.6,3,22,0,0,0,0
Giants,13,846,11,84.6,2,24.5,0,0,0,0
