Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Cowboys,13,100,9,90,0,0
Eagles,13,92.9,9,90,0,0
Rams,12,75,8,100,0,0
Texans,11,91.7,9,100,1,0
Titans,10,100,6,100,0,0
Bills,9,100,16,100,0,0
Saints,9,90,5,100,0,1
Cardinals,9,90,5,100,0,0
49ers,9,100,14,100,0,0
Seahawks,9,69.2,10,100,0,0
Panthers,8,88.9,5,100,0,0
Browns,8,88.9,4,100,0,0
Jaguars,8,80,8,100,0,0
Chiefs,8,100,11,100,0,0
Falcons,7,87.5,5,83.3,0,0
Bengals,7,77.8,4,100,0,1
Steelers,7,100,5,100,0,0
Buccaneers,7,87.5,7,100,0,0
Broncos,6,85.7,10,90.9,1,0
Colts,6,85.7,9,100,0,0
Jets,6,85.7,4,100,0,1
Chargers,6,85.7,12,100,0,0
Commanders,6,75,9,100,0,0
Lions,5,100,13,100,0,0
Packers,5,100,9,100,0,0
Ravens,4,66.7,11,100,0,0
Bears,4,100,7,100,0,0
Raiders,4,100,6,100,0,0
Dolphins,4,66.7,18,94.7,0,0
Patriots,4,57.1,5,100,0,0
Giants,4,66.7,4,100,0,0
Vikings,2,100,12,100,0,0
