Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Broncos,35.2,5,176,1,4,1,99T,0,0
Texans,34.2,5,171,1,3,1,85T,0,0
Raiders,31.5,2,63,0,2,1,40,0,0
Panthers,30.5,2,61,0,2,0,37,0,0
Bills,28,3,84,0,2,1,41,0,0
Lions,28,1,28,0,1,0,28,1,0
Browns,26,1,26,0,1,0,26,0,0
Seahawks,25.2,8,202,0,7,0,34,0,0
Packers,25,10,250,0,10,0,30,0,0
Jets,24.6,5,123,0,4,0,30,0,0
Patriots,24.3,3,73,0,1,1,43,1,0
Commanders,23.8,4,95,0,3,0,29,0,0
Bengals,23.3,3,70,0,2,0,27,0,0
Vikings,23.3,3,70,0,2,0,33,0,0
Jaguars,23,4,92,0,3,0,33,0,0
Buccaneers,23,1,23,0,1,0,23,0,0
Steelers,22.9,7,160,0,6,0,34,0,0
Dolphins,22.8,4,91,0,4,0,27,0,0
Bears,21,4,84,0,2,0,33,0,0
Saints,20.7,11,228,0,6,0,27,1,1
Ravens,20.5,4,82,0,2,0,28,1,0
Cardinals,20,3,60,0,1,0,28,0,0
Chargers,19.5,2,39,0,1,0,24,0,0
Eagles,19.3,3,58,0,1,0,30,0,0
Colts,19,1,19,0,0,0,19,2,0
Titans,18.5,2,37,0,1,0,21,1,0
49ers,18,1,18,0,0,0,18,0,0
Giants,17.5,2,35,0,0,0,19,1,0
Falcons,15.3,3,46,0,0,0,19,0,0
Rams,14.7,3,44,0,1,0,20,3,0
Chiefs,14,1,14,0,0,0,14,0,0
Cowboys,0,1,0,0,0,0,0,0,0
