Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,35,2,70,0,2,1,45,4,0
Saints,23.8,6,143,1,2,1,76T,7,0
Bengals,16.9,9,152,1,1,1,81T,3,1
Eagles,16.8,9,151,0,3,1,52,4,1
Seahawks,16.4,5,82,0,1,0,23,4,0
Jets,15.4,8,123,1,1,1,65T,6,0
Colts,13.5,6,81,0,1,0,32,8,0
Jaguars,13.3,6,80,0,1,1,48,5,0
Ravens,11.8,8,94,0,2,0,31,6,0
Packers,11.5,8,92,0,2,0,35,2,1
49ers,11.1,9,100,0,0,0,19,5,0
Chargers,10.5,8,84,0,1,0,20,1,1
Bills,10.3,3,31,0,1,0,23,7,0
Titans,9.8,10,98,0,1,0,21,4,0
Texans,9.7,6,58,0,0,0,14,6,1
Dolphins,9.5,6,57,0,0,0,18,6,0
Lions,9.1,8,73,0,0,0,17,8,0
Bears,8,3,24,0,0,0,8,5,0
Raiders,7.5,6,45,0,0,0,16,1,1
Patriots,7,10,70,0,1,0,21,5,1
Chiefs,6.7,10,67,0,1,0,23,6,1
Browns,6.2,8,50,0,0,0,13,7,1
Cardinals,6.1,7,43,0,0,0,19,3,0
Buccaneers,6.1,7,43,0,0,0,16,4,1
Panthers,6.1,10,61,0,0,0,15,2,0
Cowboys,6,5,30,0,0,0,12,8,0
Giants,6,4,24,0,0,0,14,3,1
Commanders,5.5,6,33,0,0,0,14,4,0
Rams,5.1,7,36,0,0,0,11,5,0
Vikings,5.1,9,46,0,1,0,20,4,1
Falcons,5,7,35,0,0,0,16,5,0
Steelers,5,6,30,0,0,0,14,3,0
