Team,INT,INT TD,INT Yds,Lng
Chargers,30,2,311,70
Titans,22,2,358,76T
Colts,22,1,355,83T
Jaguars,20,2,237,39
Seahawks,20,1,299,84T
Bengals,19,1,220,44T
Cowboys,19,2,331,70T
Packers,19,1,233,46T
Patriots,19,3,288,65
Bills,18,2,193,38T
Rams,18,2,200,52
Raiders,18,2,321,66T
Cardinals,18,6,551,71
Ravens,17,1,212,35T
Browns,17,1,216,100T
Lions,17,3,362,66
Falcons,16,0,174,33
Bears,16,1,235,85T
Buccaneers,16,1,89,29T
Vikings,15,6,298,93
Giants,15,3,204,43
Jets,15,0,110,36
Panthers,14,1,163,73T
Broncos,14,0,105,37
Chiefs,14,0,142,37
Dolphins,14,1,160,36T
Redskins,14,2,301,61
Saints,13,3,267,75
Niners,12,0,138,62
Texans,11,0,75,33
Eagles,11,0,111,49
Steelers,11,2,234,51
