Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Titans,369,1478,4,11,80,21.7
Jaguars,390,1605,4.1,12,92,23.6
Steelers,361,1438,4,6,74,20.5
Raiders,486,2334,4.8,24,121,24.9
Redskins,391,1460,3.7,10,89,22.8
Vikings,379,1185,3.1,7,67,17.7
Chargers,416,1712,4.1,11,89,21.4
Giants,408,1563,3.8,12,83,20.3
Panthers,472,1771,3.8,13,100,21.2
Patriots,360,1572,4.4,7,91,25.3
Buccaneers,454,1726,3.8,11,93,20.5
Bills,454,1993,4.4,15,104,22.9
Ravens,446,1268,2.8,9,69,15.5
Colts,454,1711,3.8,10,111,24.4
Jets,517,2156,4.2,14,128,24.8
Browns,460,2072,4.5,8,100,21.7
Seahawks,422,1644,3.9,16,78,18.5
Broncos,501,2282,4.6,14,119,23.8
Bears,454,1967,4.3,17,100,22
Eagles,403,1533,3.8,10,80,19.8
Cowboys,381,1513,4,12,86,22.6
Texans,417,1825,4.4,15,107,25.7
Bengals,449,1893,4.2,11,98,21.8
Rams,445,1844,4.1,16,105,23.6
Cardinals,407,1567,3.8,13,90,22.1
Saints,408,1646,4,7,80,19.6
Dolphins,544,2456,4.5,18,129,23.7
Packers,424,1647,3.9,6,77,18.2
Falcons,481,2033,4.2,12,105,21.8
Chiefs,481,2089,4.3,11,104,21.6
Niners,504,1896,3.8,9,94,18.6
Lions,448,1911,4.3,19,116,25.9
