Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Ken Anderson,3169,8.4,377,228,60.5,21,11,93.9,93,24.7,0,0,55,32,247
Fran Tarkenton,2994,7,425,273,64.2,25,13,91.8,127,29.9,0,0,46,27,245
Roger Staubach,2666,7.7,348,198,56.9,17,16,78.5,113,32.5,0,0,62,36,213
Jim Hart,2507,7.3,345,182,52.8,19,19,71.7,110,31.9,0,0,80,6,43
Bert Jones,2483,7.2,344,203,59,18,8,89.1,94,27.3,0,0,90,38,325
Billy Kilmer,2440,7,346,178,51.4,23,16,77.2,90,26,0,0,96,23,138
Joe Ferguson,2426,7.6,321,169,52.6,25,17,81.3,109,34,0,0,77,20,153
Craig Morton,2359,6.5,363,186,51.2,11,16,63.6,82,22.6,0,0,56,47,331
Ken Stabler,2296,7.8,293,171,58.4,16,24,67.4,73,24.9,0,0,53,19,202
Joe Namath,2286,7,326,157,48.2,15,28,51,61,18.7,0,0,91,27,253
James Harris,2148,7.5,285,157,55.1,14,15,73.8,98,34.4,0,0,54,21,180
John Hadl,2095,5.9,353,191,54.1,6,21,52.8,72,20.4,0,0,54,35,284
Terry Bradshaw,2055,7.2,286,165,57.7,18,9,88,76,26.6,0,0,59,31,290
Dan Pastorini,2053,6,342,163,47.7,14,16,61,73,21.4,0,0,77,24,210
Steve Grogan,1976,7.2,274,139,50.7,11,18,60.4,79,28.8,0,0,62,22,207
Mike Phipps,1749,5.6,313,162,51.8,4,19,47.5,77,24.6,0,0,48,28,261
Bob Griese,1693,8.9,191,118,61.8,14,13,86.6,56,29.3,0,0,79,16,131
Archie Manning,1683,5,338,159,47,7,20,44.3,58,17.2,0,0,71,49,390
Steve Bartkowski,1662,6.5,255,115,45.1,13,15,59.3,54,21.2,0,0,68,19,197
Roman Gabriel,1644,5.6,292,151,51.7,13,11,67.8,63,21.6,0,0,62,18,131
Steve Ramsey,1562,6.7,233,128,54.9,9,14,63.6,44,18.9,0,0,66,23,187
Dan Fouts,1396,7.2,195,106,54.4,2,10,59.3,39,20,0,0,57,25,197
Norm Snead,1337,7.1,189,108,57.1,9,10,73,17,9,0,0,60,16,109
Mike Livingston,1245,7.1,176,88,50,8,6,74.2,47,26.7,0,0,69,17,131
Joe Reed,1181,6.2,191,86,45,9,10,59.3,49,25.6,0,0,65,14,119
Steve Spurrier,1151,5.6,207,102,49.3,5,7,60.3,24,11.6,0,0,68,11,80
Len Dawson,1095,7.8,140,93,66.4,5,4,90,43,30.7,0,0,51,23,196
Gary Huff,1083,5.3,205,114,55.6,3,9,57,31,15.1,0,0,49,16,168
Charley Johnson,1021,7.2,142,65,45.8,5,12,46.7,15,10.6,0,0,90,10,79
Mike Boryla,996,6,166,87,52.4,6,12,52.7,25,15.1,0,0,46,12,69
Bob Avellini,942,7.5,126,67,53.2,6,11,57,23,18.2,0,0,57,13,144
Bill Munson,626,5.7,109,65,59.6,5,2,83.4,15,13.8,0,0,32,8,65
Jim Plunkett,571,6.2,92,36,39.1,3,7,39.7,19,20.6,0,0,76,13,89
