Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Browns,418,1703,4.1,12,8,3,69,102,24.4,7
Ravens,416,2042,4.9,22,15,3,60,114,27.4,4
Falcons,412,1718,4.2,12,6,0,38,99,24,8
Bears,406,1794,4.4,11,8,0,34T,105,25.9,4
Eagles,390,1618,4.2,18,8,1,43,110,28.2,8
49ers,387,1815,4.7,22,9,3,72,112,28.9,4
Lions,382,1788,4.7,20,12,3,75,93,24.4,5
Cowboys,373,1542,4.1,12,10,1,46T,89,23.9,3
Saints,366,1358,3.7,11,3,0,29,85,23.2,5
Jaguars,365,1297,3.6,15,8,0,35T,77,21.1,3
Giants,362,1494,4.1,6,10,0,36,72,19.9,6
Bills,360,1586,4.4,15,7,1,42,112,31.1,5
Dolphins,357,1878,5.3,24,15,7,76T,93,26,12
Colts,354,1436,4.1,16,9,3,56,81,22.9,3
Rams,349,1502,4.3,12,8,1,56T,80,22.9,1
Steelers,348,1466,4.2,9,11,1,74T,81,23.3,6
Broncos,347,1495,4.3,5,9,0,38,87,25.1,4
Cardinals,343,1611,4.7,13,15,3,45T,84,24.5,5
Panthers,340,1356,4,5,5,1,48,85,25,4
Texans,340,1256,3.7,9,3,0,22,64,18.8,3
Titans,336,1390,4.1,12,7,1,63,76,22.6,5
Patriots,333,1325,4,6,3,1,64T,81,24.3,3
Buccaneers,332,1170,3.5,7,3,0,38T,63,19,3
Packers,324,1382,4.3,7,10,1,40T,68,21,5
Chiefs,322,1401,4.4,8,6,1,48T,89,27.6,1
Chargers,322,1248,3.9,10,8,3,55T,65,20.2,2
Vikings,314,1237,3.9,5,3,0,31,63,20.1,9
Raiders,302,1048,3.5,8,4,2,63,55,18.2,5
Seahawks,298,1196,4,9,9,1,45T,70,23.5,1
Commanders,285,1299,4.6,11,8,0,29,81,28.4,5
Bengals,283,1101,3.9,9,5,0,31,65,23,0
Jets,277,1168,4.2,4,6,3,83,51,18.4,10
