Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,24,25,53,0
Ravens,22,17,41,2
49ers,22,25,47,0
Lions,20,21,42,3
Eagles,18,19,39,1
Colts,16,14,35,3
Bills,15,25,41,3
Jaguars,15,17,34,3
Cardinals,13,11,25,3
Falcons,12,12,25,2
Browns,12,14,28,4
Cowboys,12,28,47,4
Titans,12,11,23,1
Rams,12,19,31,2
Bears,11,16,28,1
Saints,11,16,30,3
Commanders,11,18,30,3
Chargers,10,21,32,1
Bengals,9,20,31,0
Texans,9,21,31,1
Steelers,9,9,20,1
Seahawks,9,17,29,1
Chiefs,8,23,32,0
Raiders,8,11,20,1
Packers,7,23,32,2
Buccaneers,7,20,28,2
Patriots,6,13,19,0
Giants,6,12,20,0
Panthers,5,11,19,2
Broncos,5,23,30,2
Vikings,5,23,30,1
Jets,4,9,16,2
