Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Browns,200,63,23,12,124,46.6,102,24.4,934
Panthers,196,71,36,17,122,43.7,85,25,867
Giants,188,58,24,11,106,42.7,72,19.9,804
Saints,184,69,15,8,146,47.2,85,23.2,869
Buccaneers,182,73,14,9,137,50,63,19,800
Cowboys,181,89,18,9,179,54.7,89,23.9,873
Chargers,181,72,26,12,159,51.1,65,20.2,835
Lions,180,77,32,14,167,53.7,93,24.4,873
Colts,179,64,25,13,143,49.5,81,22.9,846
Vikings,179,72,22,15,164,50,63,20.1,831
Bears,178,77,21,11,135,52.7,105,25.9,842
Texans,178,71,16,6,168,60.2,64,18.8,826
Steelers,178,62,13,5,118,46.8,81,23.3,784
Jaguars,176,66,19,9,152,48.6,77,21.1,864
Falcons,175,71,15,7,143,56.3,99,24,858
Rams,175,71,15,9,153,56.5,80,22.9,831
Jets,175,43,22,15,122,45,51,18.4,782
Packers,173,75,21,12,155,56.2,68,21,798
Patriots,173,57,20,8,122,44.4,81,24.3,802
Eagles,172,82,21,15,152,52.6,110,28.2,857
Commanders,171,66,18,9,159,47.5,81,28.4,852
Bills,170,83,13,8,161,50.6,112,31.1,853
Cardinals,170,64,25,8,125,48.4,84,24.5,795
Broncos,165,61,12,7,113,44.5,87,25.1,763
Ravens,164,70,10,4,133,51.8,114,27.4,832
Bengals,164,59,14,7,157,48.6,65,23,786
Chiefs,163,77,12,5,174,52.9,89,27.6,833
Titans,162,54,13,7,123,52.8,76,22.6,767
Raiders,160,53,21,12,135,50.6,55,18.2,755
Seahawks,159,53,16,6,147,51.6,70,23.5,775
Dolphins,149,63,18,7,176,57.3,93,26,818
49ers,139,66,8,5,157,61.8,112,28.9,776
