Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Commanders,509,335,65.8,6.8,3466,18,14,85.6,159,31.2,40,3,51T,58,395
Chiefs,493,329,66.7,7,3429,23,13,91.2,174,35.3,38,4,54,18,133
Vikings,485,328,67.6,7,3410,23,10,95,164,33.8,50,5,62T,32,208
Chargers,482,311,64.5,7,3362,21,7,93.4,159,33,46,6,60T,31,264
Browns,480,266,55.4,5.8,2783,14,15,69.1,124,25.8,33,8,59,36,243
Panthers,476,279,58.6,5.4,2560,11,9,73.2,122,25.6,25,4,48T,51,406
Bills,475,318,67,7.3,3447,25,14,93.4,161,33.9,39,6,81T,18,107
Saints,475,309,65,6.8,3216,16,10,87,146,30.7,39,10,58T,28,187
Bengals,470,323,68.7,6.9,3225,20,9,94.2,157,33.4,34,8,76,33,241
Cowboys,470,327,69.6,7.7,3619,28,7,105.8,179,38.1,53,4,60,30,202
Jaguars,466,313,67.2,7.2,3350,17,10,91.2,152,32.6,42,7,57,33,192
Lions,465,311,66.9,7.4,3449,21,10,94.8,167,35.9,54,6,48,26,163
Colts,462,289,62.6,6.7,3101,14,9,84.2,143,31,37,8,75,30,155
Rams,458,271,59.2,7.1,3234,19,10,85.5,153,33.4,53,5,70T,24,180
Jets,450,271,60.2,6,2689,9,11,73.6,122,27.1,30,3,68T,55,389
Texans,449,279,62.1,8.2,3661,21,5,98.8,168,37.4,61,8,75,37,305
Packers,448,276,61.6,6.9,3098,23,11,89.1,155,34.6,39,6,77,26,199
Seahawks,445,285,64,7.3,3253,17,12,87.4,147,33,43,6,73T,32,225
Buccaneers,440,274,62.3,6.7,2934,20,8,89.3,137,31.1,42,9,75T,28,147
Dolphins,438,307,70.1,8.6,3767,25,11,104.9,176,40.2,49,10,78,23,138
Patriots,437,275,62.9,6.1,2659,13,15,75.5,122,27.9,25,2,58T,32,196
Eagles,434,289,66.6,7.5,3236,19,10,93.6,152,35,44,7,63T,33,190
Raiders,421,267,63.4,6.6,2801,11,18,73.6,135,32.1,24,4,50T,32,239
Cardinals,417,258,61.9,6,2495,11,9,78.4,125,30,25,3,69T,35,254
Falcons,410,254,62,7.1,2896,12,10,82.7,143,34.9,37,6,60T,36,237
Steelers,409,252,61.6,6.2,2533,9,7,79.4,118,28.8,31,4,72T,27,196
Bears,398,256,64.3,6.7,2669,16,12,84.5,135,33.9,33,4,58,38,248
Titans,388,233,60,7.2,2797,11,9,82,123,31.7,45,10,70,43,279
Ravens,385,257,66.8,7.7,2972,17,6,98.1,133,34.6,41,8,80,31,172
Broncos,378,254,67.2,6.9,2609,23,8,98.3,113,29.9,31,8,60T,38,194
Giants,373,248,66.5,6.3,2343,12,9,84.3,106,28.4,33,4,58,69,366
49ers,363,254,70,9.8,3560,25,7,116.2,157,43.2,61,12,76T,26,145
