Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Commanders,335,3466,10.4,18,40,3,51,159,47.5,5
Chiefs,329,3429,10.4,23,38,4,54,174,52.9,6
Vikings,328,3410,10.4,23,50,5,62,164,50,4
Cowboys,327,3619,11.1,28,53,4,60,179,54.7,5
Bengals,323,3225,10,20,34,8,76,157,48.6,3
Bills,318,3447,10.8,25,39,6,81,161,50.6,6
Jaguars,313,3350,10.7,17,42,7,57,152,48.6,7
Lions,311,3449,11.1,21,54,6,48,167,53.7,3
Chargers,311,3362,10.8,21,46,6,60,159,51.1,7
Saints,309,3216,10.4,16,39,10,58T,146,47.2,0
Dolphins,307,3767,12.3,25,49,10,78,176,57.3,4
Colts,289,3101,10.7,14,37,8,75,143,49.5,2
Eagles,289,3236,11.2,19,44,7,63,152,52.6,3
Seahawks,285,3253,11.4,17,43,6,73,147,51.6,0
Panthers,279,2560,9.2,11,25,4,48T,122,43.7,5
Texans,279,3661,13.1,21,61,8,75,168,60.2,2
Packers,276,3098,11.2,23,39,6,77,155,56.2,3
Patriots,275,2659,9.7,13,25,2,58,122,44.4,4
Buccaneers,274,2934,10.7,20,42,9,75,137,50,5
Rams,271,3234,11.9,19,53,5,70,153,56.5,1
Jets,271,2689,9.9,9,30,3,68,122,45,2
Raiders,267,2801,10.5,11,24,4,50T,135,50.6,3
Browns,266,2783,10.5,14,33,8,59,124,46.6,4
Cardinals,258,2495,9.7,11,25,3,69T,125,48.4,0
Ravens,257,2972,11.6,17,41,8,80,133,51.8,6
Bears,256,2669,10.4,16,33,4,58T,135,52.7,4
Falcons,254,2896,11.4,12,37,6,60T,143,56.3,2
Broncos,254,2609,10.3,23,31,8,60,113,44.5,6
49ers,254,3560,14,25,61,12,76,157,61.8,3
Steelers,252,2533,10,9,31,4,72,118,46.8,2
Giants,248,2343,9.4,12,33,4,58,106,42.7,3
Titans,233,2797,12,11,45,10,70,123,52.8,2
