Team,Rsh TD,Rec TD,Tot TD,2-PT
Vikings,23,18,44,0
Patriots,19,25,46,2
Eagles,19,32,52,3
Niners,18,21,41,0
Packers,17,25,44,0
Chiefs,17,24,50,0
Broncos,16,55,75,0
Titans,16,22,39,0
Raiders,16,17,35,0
Bills,15,16,33,2
Lions,15,29,47,2
Colts,15,23,40,4
Panthers,14,24,42,0
Bengals,14,33,53,0
Seahawks,14,27,44,0
Redskins,14,20,38,2
Bears,13,32,51,5
Cowboys,12,33,48,1
Jets,12,13,27,0
Cardinals,12,24,40,1
Falcons,11,26,39,1
Giants,11,18,32,1
Rams,10,22,35,3
Saints,10,39,49,0
Steelers,9,28,41,1
Chargers,9,32,42,0
Dolphins,8,24,34,0
Ravens,7,19,29,3
Texans,7,19,28,1
Jaguars,7,16,24,0
Buccaneers,6,22,31,0
Browns,4,26,34,1
