Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Bills,17.1,26,445,2,7,2,88,21,1
Titans,15.3,31,475,3,5,3,81,17,1
Browns,14.8,41,606,1,9,3,93T,9,4
Cowboys,12.4,34,420,1,8,2,78T,13,2
Patriots,12,42,506,1,6,2,68T,8,1
Dolphins,11.2,31,346,1,4,1,72,25,2
Colts,11.1,28,312,1,1,1,75,20,0
Packers,11,36,395,1,4,2,75,22,4
Texans,10.9,38,414,0,5,2,71,16,2
Niners,10.5,36,378,0,5,0,38,18,3
Bengals,10.4,47,488,1,5,2,81T,11,2
Jets,10.4,23,238,1,2,1,68T,38,3
Eagles,10.3,30,310,1,2,1,98T,26,2
Panthers,10.2,27,276,0,3,1,69,18,4
Chargers,9.7,33,320,1,5,1,63T,22,4
Ravens,9.4,43,404,1,3,2,63T,26,2
Redskins,9.3,36,335,0,5,1,64T,7,4
Broncos,9.3,48,445,1,6,2,76T,20,5
Buccaneers,9,36,324,0,4,0,39,19,2
Vikings,9,32,287,1,2,1,77T,27,1
Chiefs,8.9,43,381,0,6,0,27,8,4
Lions,8.6,35,302,0,4,1,48T,26,6
Seahawks,8.4,42,355,0,5,1,52T,18,1
Cardinals,8.2,54,441,0,4,0,26,14,6
Falcons,7.9,26,205,0,2,0,28,19,0
Saints,7.6,25,190,0,3,0,37T,20,0
Bears,7.6,44,333,0,5,1,44,8,3
Steelers,7.3,41,300,0,5,1,63,19,4
Jaguars,7.3,34,248,0,1,0,28,13,3
Giants,7.2,20,144,0,0,0,18,19,1
Rams,6.6,37,245,0,2,0,23,20,4
Raiders,5.1,34,173,0,2,1,47T,14,4
