Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Redskins,348,1346,3.9,11,72,20.7
Jets,379,1442,3.8,8,94,24.8
Chiefs,417,1770,4.2,8,88,21.1
Broncos,411,1794,4.4,8,81,19.7
Bills,519,2044,3.9,20,138,26.6
Bears,389,1580,4.1,9,77,19.8
Giants,414,1726,4.2,11,103,24.9
Saints,334,1213,3.6,6,63,18.9
Vikings,456,1837,4,17,106,23.2
Chargers,430,1666,3.9,15,94,21.9
Lions,444,1760,4,16,93,21
Bengals,454,1662,3.7,20,100,22
Raiders,447,1889,4.2,13,108,24.2
Eagles,383,1136,3,4,53,13.8
49ers,399,1512,3.8,8,86,21.6
Cowboys,400,1571,3.9,11,103,25.8
Patriots,460,1579,3.4,5,94,20.4
Falcons,466,1953,4.2,13,93,20
Steelers,466,1582,3.4,14,98,21
Seahawks,435,1684,3.9,4,91,20.9
Cardinals,493,2136,4.3,27,132,26.8
Browns,447,1875,4.2,12,100,22.4
Rams,469,1659,3.5,19,105,22.4
Packers,457,1546,3.4,10,99,21.7
Dolphins,499,2301,4.6,17,133,26.6
Buccaneers,512,2107,4.1,21,120,23.4
Colts,544,2327,4.3,23,140,25.7
Oilers,407,1540,3.8,8,94,23.1
