Team,INT,INT TD,INT Yds,Lng
Saints,29,2,482,79
Redskins,28,3,284,54
Eagles,26,1,280,74T
Broncos,24,2,379,53
Bills,23,1,276,58
Oilers,20,2,255,52
Falcons,19,1,225,55
Lions,19,2,286,96
Steelers,19,2,329,57
Chargers,19,1,227,71T
Raiders,18,0,155,31
Jets,18,2,283,83T
Seahawks,18,2,302,43
Bears,17,1,225,39T
Bengals,17,1,169,47T
Vikings,17,2,242,97
Cardinals,17,1,187,35T
Browns,15,3,260,42
Packers,15,0,234,37
Colts,15,0,202,37
Chiefs,15,0,216,83
Cowboys,12,2,167,65
Dolphins,12,0,135,37
Patriots,12,0,93,33
Giants,12,0,122,41
49ers,12,0,125,42
Rams,11,1,175,59T
Buccaneers,11,0,63,18
