Team,INT,INT TD,INT Yds,Lng
Dolphins,18,0,146,29
Patriots,18,1,162,43
Saints,18,1,196,48
Steelers,18,3,169,37
Chiefs,16,2,259,50
Football Team,16,2,136,76
Bills,15,2,184,51
Titans,15,0,189,68
Colts,15,4,266,50
Vikings,15,0,65,16
Buccaneers,15,1,171,37
Rams,14,3,266,84
Seahawks,14,0,106,32T
Falcons,12,1,204,67
Jaguars,12,1,200,53
Chargers,12,2,217,78
49ers,12,1,123,51
Bengals,11,0,84,30
Browns,11,2,214,50
Packers,11,1,98,24T
Giants,11,1,101,46
Cardinals,11,0,129,90
Ravens,10,0,78,25
Bears,10,0,81,33
Cowboys,10,0,108,43T
Broncos,10,0,130,46T
Raiders,10,0,156,47T
Jets,10,1,134,35
Eagles,8,1,101,30
Panthers,7,0,110,66
Lions,7,0,65,36
Texans,3,1,19,19
