Team,FF,FR,FR TD
Ravens,25,11,3
Falcons,17,9,0
Browns,17,10,0
Jets,17,8,0
Cowboys,16,12,2
Dolphins,16,10,2
Bills,15,10,1
Bears,15,8,1
Lions,15,5,0
Cardinals,15,10,0
Buccaneers,15,10,0
Panthers,14,15,3
Colts,14,10,0
Giants,14,11,1
Eagles,14,10,1
Seahawks,14,8,0
Football Team,14,7,1
Chiefs,13,5,0
Steelers,13,8,0
49ers,13,8,0
Broncos,12,6,0
Packers,12,7,1
Titans,12,8,1
Jaguars,12,5,0
Rams,12,8,1
Vikings,11,7,0
Bengals,10,6,0
Texans,9,6,0
Raiders,8,5,0
Saints,7,8,0
Chargers,6,7,0
Patriots,5,4,1
