Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Steelers,526,298,56.6,5.9,3110,22,18,163,31,56
Cowboys,513,328,63.9,7.1,3642,34,10,180,35.1,31
Chiefs,557,349,62.7,6.8,3779,29,16,202,36.3,32
Falcons,625,425,68,7.5,4697,34,12,239,38.2,29
Chargers,543,340,62.6,6.6,3578,29,12,186,34.2,27
Buccaneers,617,426,69,6.4,3945,29,15,215,34.8,48
Jaguars,533,370,69.4,7.9,4231,34,12,210,39.4,18
Bears,547,350,64,6.8,3705,28,10,190,34.7,35
Football Team,529,330,62.4,5.8,3068,21,16,161,30.4,47
Eagles,530,364,68.7,7.2,3798,27,8,209,39.4,49
Bills,573,369,64.4,6.5,3726,23,15,199,34.7,38
Rams,548,347,63.3,5.6,3051,17,14,170,31,53
Lions,557,383,68.8,8.2,4558,38,7,253,45.4,24
Bengals,541,340,62.8,7.1,3859,32,11,192,35.5,17
Cardinals,570,365,64,6.4,3623,26,11,207,36.3,48
49ers,537,341,63.5,6.2,3327,25,12,176,32.8,30
Seahawks,674,450,66.8,6.8,4560,23,14,253,37.5,46
Dolphins,545,343,62.9,7.4,4024,21,18,193,35.4,41
Broncos,567,374,66,6.7,3807,21,10,201,35.4,42
Colts,562,369,65.7,6.9,3866,24,15,203,36.1,40
Raiders,580,370,63.8,7.3,4212,28,10,223,38.4,21
Panthers,585,398,68,6.5,3825,28,7,211,36.1,29
Texans,541,377,69.7,7.6,4104,30,3,222,41,34
Packers,536,346,64.6,6.6,3539,23,11,184,34.3,41
Saints,557,333,59.8,6.2,3472,28,18,185,33.2,45
Giants,574,388,67.6,6.6,3807,22,11,215,37.5,40
Vikings,541,358,66.2,7.6,4141,30,15,208,38.4,23
Browns,585,371,63.4,6.8,3962,31,11,214,36.6,38
Jets,605,418,69.1,7.3,4409,34,10,235,38.8,31
Titans,630,423,67.1,7,4439,36,15,247,39.2,19
Patriots,494,333,67.4,7.2,3557,22,18,187,37.8,24
Ravens,596,380,63.8,5.9,3536,22,10,213,35.7,39
