Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Steelers,222,83,20,5,94,22.7,996
Rams,209,74,21,9,91,23.4,989
Football Team,216,81,24,9,100,23.4,1004
Chargers,204,89,15,10,112,26.2,997
Falcons,195,80,23,10,97,25.5,1034
Eagles,211,80,18,7,98,20.4,1060
Cowboys,209,98,21,10,142,27.8,1054
Bengals,210,91,16,10,126,27.2,1021
Broncos,219,88,14,7,106,24.4,1043
Saints,207,79,30,16,85,21.8,992
Ravens,191,65,35,16,96,25.1,1017
Jaguars,198,86,18,12,140,27.1,1068
Jets,202,90,12,5,100,22.5,1081
Bears,210,80,22,13,104,23.7,1020
Dolphins,186,58,26,12,113,27.4,998
Cardinals,202,80,21,14,118,27.1,1054
Raiders,205,100,17,14,114,26,1039
Giants,204,91,18,11,115,26.6,1046
Colts,203,86,14,6,94,24.1,992
49ers,200,71,20,13,102,23.7,997
Browns,205,90,27,22,116,28.2,1035
Panthers,199,98,10,6,114,27.9,1022
Chiefs,188,77,20,13,113,26.1,1022
Texans,202,96,21,11,145,29.4,1068
Lions,193,91,18,11,127,26.1,1073
Buccaneers,205,82,25,14,78,21.8,1023
Seahawks,223,105,23,10,97,24.7,1112
Bills,191,76,19,11,125,30.2,1025
Patriots,186,76,16,9,131,28.2,982
Titans,214,111,26,15,113,26.5,1076
Vikings,185,73,24,17,136,28.8,1031
Packers,185,73,24,14,119,30,974
