Team,Rsh TD,Rec TD,Tot TD,2-PT
Bengals,27,28,57,0
Oilers,26,21,51,0
Bears,25,13,38,0
Colts,23,15,40,0
Vikings,22,20,47,0
Jets,19,20,43,0
49ers,18,21,41,0
Patriots,17,12,31,0
Eagles,17,25,44,0
Steelers,17,15,36,0
Rams,16,31,48,0
Bills,15,15,32,0
Raiders,15,21,38,0
Giants,15,22,40,0
Cardinals,15,26,41,0
Packers,14,13,29,0
Seahawks,14,22,38,0
Broncos,13,24,37,0
Falcons,11,13,25,0
Dolphins,11,29,40,0
Chargers,11,11,26,0
Buccaneers,11,16,28,0
Browns,10,19,32,0
Cowboys,10,21,32,0
Saints,9,21,33,0
Chiefs,8,16,24,0
Redskins,8,33,41,0
Lions,7,13,22,0
