Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Patriots,97,0,6,6.2,0,0,0,0,0,0
Chargers,88,0,10,11.4,0,0,0,0,0,0
Cowboys,87,0,12,13.8,0,0,0,0,0,0
Falcons,86,0,13,15.1,0,0,0,0,0,0
Rams,85,0,7,8.2,0,0,0,0,0,0
Eagles,80,0,10,12.5,0,0,0,0,0,0
Raiders,78,0,12,15.4,0,0,0,0,0,0
Browns,77,0,5,6.5,0,0,0,0,0,0
Lions,77,0,11,14.3,0,0,0,0,0,0
Broncos,75,0,20,26.7,0,0,0,0,0,0
Steelers,74,0,6,8.1,0,0,0,0,0,0
Chiefs,73,0,11,15.1,0,0,0,0,0,0
Colts,72,0,15,20.8,0,0,0,0,0,0
49ers,71,0,12,16.9,0,0,0,0,0,0
Seahawks,71,0,3,4.2,0,0,0,0,0,0
Vikings,70,0,5,7.1,0,0,0,0,0,0
Oilers,69,0,0,0,0,0,0,0,0,0
Cardinals,68,0,10,14.7,0,0,0,0,0,0
Bills,67,0,12,17.9,0,0,0,0,0,0
Saints,65,0,2,3.1,0,0,0,0,0,0
Redskins,65,0,4,6.2,0,0,0,0,0,0
Bears,64,0,5,7.8,0,0,0,0,0,0
Jets,64,0,9,14.1,0,0,0,0,0,0
Buccaneers,64,0,0,0,0,0,0,0,0,0
Dolphins,63,0,8,12.7,0,0,0,0,0,0
Giants,61,0,9,14.8,0,0,0,0,0,0
Bengals,58,0,1,1.7,0,0,0,0,0,0
Packers,56,0,3,5.4,0,0,0,0,0,0
