Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Lions,27,42,64.3,1_0,9_9,13_10,15_7,0_0,0_0,52,3
Broncos,26,34,76.5,2_2,5_5,5_4,14_10,0_0,0_0,57,1
Patriots,26,34,76.5,2_2,11_11,14_10,7_3,0_0,0_0,44,2
Chargers,24,36,66.7,0_0,8_7,12_8,10_6,0_0,0_0,53,1
Oilers,20,25,80,1_1,10_8,8_7,6_4,0_0,0_0,46,1
Chiefs,20,26,76.9,0_0,6_6,9_7,4_3,0_0,0_0,57,0
Seahawks,20,31,64.5,1_1,6_6,9_8,10_4,0_0,0_0,50,0
Falcons,19,27,70.4,2_2,8_8,7_4,8_4,0_0,0_0,50,1
Raiders,19,37,51.4,0_0,6_4,12_9,13_6,0_0,0_0,48,1
Steelers,19,28,67.9,2_2,9_8,10_7,6_2,0_0,0_0,48,1
Redskins,18,33,54.6,0_0,4_3,6_5,12_7,0_0,0_0,52,0
Browns,16,26,61.5,0_0,7_6,7_5,9_5,0_0,0_0,45,0
Rams,16,30,53.3,1_1,12_11,5_2,9_2,0_0,0_0,47,2
Vikings,16,26,61.5,1_1,6_6,10_8,9_1,0_0,0_0,47,1
Giants,16,24,66.7,0_0,6_5,6_4,6_5,0_0,0_0,51,0
Eagles,16,31,51.6,4_4,5_2,11_7,8_2,0_0,0_0,51,0
Buccaneers,16,23,69.6,1_1,8_7,9_7,5_1,0_0,0_0,43,2
Bengals,15,29,51.7,0_0,9_9,11_4,8_2,0_0,0_0,42,1
49ers,15,19,79,1_1,2_2,9_8,5_4,0_0,0_0,47,1
Dolphins,14,23,60.9,0_0,10_9,5_3,5_2,0_0,0_0,48,1
Jets,14,22,63.6,0_0,4_4,9_4,8_6,0_0,0_0,49,1
Cardinals,14,23,60.9,0_0,5_4,8_5,10_5,0_0,0_0,43,0
Bills,13,23,56.5,0_0,4_4,9_4,9_5,0_0,0_0,49,3
Bears,13,18,72.2,1_1,5_5,8_4,4_3,0_0,0_0,44,0
Colts,12,23,52.2,0_0,6_5,8_3,7_4,0_0,0_0,46,0
Saints,12,22,54.6,0_0,3_2,10_7,8_3,0_0,0_0,47,1
Cowboys,11,17,64.7,1_1,4_3,6_6,3_0,0_0,0_0,52,0
Packers,11,20,55,0_0,3_2,8_5,7_3,0_0,0_0,50,2
