Team,Rsh TD,Rec TD,Tot TD,2-PT
Cowboys,26,30,59,0
Bears,22,13,37,0
Lions,21,13,36,0
Colts,20,25,46,0
Patriots,19,27,50,0
Eagles,19,28,47,0
Cardinals,19,16,37,0
Oilers,18,15,33,0
Chargers,18,30,50,0
Bills,17,20,40,0
Rams,17,31,54,0
Jets,17,17,36,0
Broncos,16,14,32,0
Falcons,15,31,47,0
Browns,15,30,45,0
Chiefs,15,15,34,0
Steelers,15,26,42,0
Raiders,14,23,41,0
Vikings,14,22,39,0
Packers,13,15,29,0
Seahawks,13,18,33,0
Redskins,12,17,30,0
Giants,10,19,29,0
49ers,10,27,40,0
Bengals,9,17,28,0
Dolphins,9,21,31,0
Saints,9,26,36,0
Buccaneers,9,20,30,0
