Team,Rsh TD,Rec TD,Tot TD,2-PT
Raiders,15,14,32,0
Chargers,15,19,34,0
Bengals,13,12,27,0
Rams,13,11,25,0
Jets,13,16,31,0
Falcons,12,9,21,0
Packers,12,12,26,0
Dolphins,11,8,22,0
Eagles,11,12,24,0
Cowboys,10,16,27,0
Cardinals,10,6,16,0
Bills,9,8,18,0
Saints,8,8,16,0
Browns,7,9,17,0
Giants,7,10,18,0
Steelers,7,17,25,0
Broncos,6,8,16,0
Vikings,6,15,22,0
49ers,6,17,25,0
Buccaneers,6,9,15,0
Bears,5,10,16,0
Lions,5,12,19,0
Oilers,5,12,17,0
Redskins,5,13,19,0
Colts,4,6,12,0
Seahawks,4,9,14,0
Chiefs,3,10,17,0
Patriots,3,12,17,0
