Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Bengals,219,2501,11.4,12,27,5,56,229,104.6,2
49ers,215,2668,12.4,17,36,8,55T,242,112.6,7
Chargers,208,3021,14.5,19,61,7,66,249,119.7,4
Vikings,187,2105,11.3,15,31,1,65T,212,113.4,2
Broncos,181,2019,11.2,8,22,2,51T,187,103.3,7
Falcons,176,1992,11.3,9,20,5,86,184,104.6,3
Seahawks,176,2068,11.8,9,26,5,50,180,102.3,4
Browns,174,2057,11.8,9,25,5,56T,191,109.8,1
Eagles,168,2100,12.5,12,26,6,57,200,119,8
Rams,166,2136,12.9,11,32,8,85,180,108.4,5
Jets,165,2107,12.8,16,26,6,56,190,115.2,1
Buccaneers,164,2071,12.6,9,29,4,62T,210,128,6
Redskins,162,2068,12.8,13,31,6,78,160,98.8,4
Giants,161,2017,12.5,10,30,5,47T,178,110.6,4
Cowboys,160,2150,13.4,16,34,9,49T,198,123.8,0
Raiders,154,2086,13.6,14,25,7,52T,187,121.4,2
Oilers,153,1882,12.3,12,25,3,54,158,103.3,1
Bills,149,1671,11.2,8,22,1,47,159,106.7,0
Chiefs,145,1864,12.9,10,28,4,51,150,103.4,1
Packers,143,2068,14.5,12,32,7,80,194,135.7,1
Colts,142,1613,11.4,6,15,1,53,144,101.4,2
Bears,141,1749,12.4,10,21,6,50,149,105.7,3
Steelers,141,1922,13.6,17,27,5,74,183,129.8,2
Saints,137,1571,11.5,8,18,1,48T,141,102.9,3
Lions,136,1754,12.9,12,28,4,70,167,122.8,2
Dolphins,129,1401,10.9,8,16,4,46T,135,104.6,2
Cardinals,129,1576,12.2,6,22,1,42,150,116.3,0
Patriots,93,1420,15.3,12,27,7,75,126,135.5,0
