Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Bills,15.5,30,464,1,9,2,63T,10,3
Raiders,13,44,570,3,7,3,93T,12,0
Texans,12.1,32,386,2,6,2,73T,17,4
Saints,11.9,26,310,3,4,3,71T,17,1
Panthers,10.8,42,453,0,5,1,55,20,0
Packers,10.8,37,398,2,5,2,76T,11,5
Jets,10.4,29,303,0,4,0,37,9,1
Chargers,10.4,26,269,0,4,1,43,13,1
Patriots,10.3,36,371,0,3,1,44,16,0
Niners,10.3,29,298,0,3,1,45,12,1
Dolphins,10.2,28,285,0,3,0,27,11,2
Seahawks,10.1,35,353,0,5,0,30,17,1
Broncos,9.8,20,196,0,4,0,36,10,1
Titans,9.7,34,329,0,5,1,44,21,2
Jaguars,9.5,29,275,0,4,0,38,17,2
Buccaneers,9.4,47,440,1,3,2,70T,11,1
Falcons,8.8,43,379,1,5,1,61T,12,4
Giants,8.6,39,337,0,4,2,50,18,2
Ravens,8.6,44,378,0,6,2,46,20,3
Eagles,8.6,52,446,1,3,2,68T,16,3
Rams,8.4,29,245,0,3,0,34,10,0
Redskins,8.4,45,378,1,4,1,80T,21,2
Browns,8.4,30,251,0,1,0,32,7,0
Vikings,8,34,273,1,4,1,82T,23,3
Lions,8,21,168,0,2,0,27,13,2
Bengals,7.9,32,253,0,2,0,34,7,0
Cardinals,7.2,33,237,0,3,0,25,10,1
Bears,6.7,39,261,0,4,0,25,15,3
Chiefs,6.5,26,169,0,1,0,32,5,0
Cowboys,6.4,37,238,0,1,0,33,9,3
Steelers,6,41,247,0,3,0,35,19,4
Colts,6,22,132,0,1,0,25,13,4
