Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Patriots,3281,1358,442,229,243,60,83,17.4,1196
Vikings,3058,1258,199,88,215,52.6,92,22,1123
Eagles,3057,1282,210,74,168,53.2,103,23.8,1046
Chiefs,3015,1199,288,150,211,57.6,97,20.9,1099
Bears,2981,1251,207,117,165,53.6,88,18.1,1014
Packers,2958,1277,183,80,205,54.7,88,21.1,1059
Broncos,2925,1103,214,90,202,52.1,101,23.4,1112
Steelers,2925,1138,126,51,148,55.6,138,25.3,1048
Seahawks,2923,1112,233,123,143,56.5,114,23.8,1018
Cardinals,2872,947,177,63,169,58.9,90,18.8,1052
Chargers,2856,1136,212,126,181,59.3,102,21.2,1033
Giants,2789,966,123,62,136,60.2,103,19.6,976
Dolphins,2788,1290,319,218,220,56.1,109,25.2,1078
Bills,2774,1199,197,62,181,52.9,107,22.2,1066
Jets,2747,958,334,149,164,52.9,90,21.6,983
Oilers,2731,952,218,109,158,57.7,97,23.3,1036
Cowboys,2670,1184,87,75,160,56.7,136,24.7,1018
Raiders,2626,1039,148,36,158,56.2,87,20.3,966
Bengals,2619,813,269,149,158,54.7,84,20.8,993
Browns,2613,890,154,51,161,60.5,80,17.8,970
49ers,2576,1318,231,142,210,58.5,122,24.8,1037
Redskins,2570,930,162,50,166,61.2,79,19.4,974
Falcons,2551,951,110,48,218,58.3,63,19.1,996
Rams,2527,988,171,73,163,56,80,20.2,944
Buccaneers,2503,924,185,74,149,55,104,24.2,951
Saints,2491,887,195,98,203,55.5,78,20.9,965
Colts,2481,882,215,153,126,58.1,108,21.8,899
Lions,2387,957,151,63,164,65.6,94,23.2,891
