Team,Rsh TD,Rec TD,Tot TD,2-PT
Cowboys,26,19,50,0
49ers,23,37,65,0
Broncos,19,18,37,0
Seahawks,16,13,32,3
Colts,15,15,35,0
Steelers,15,17,34,0
Bills,14,23,37,0
Eagles,14,18,35,0
Dolphins,13,31,45,3
Chargers,13,20,40,2
Browns,12,20,37,3
Lions,12,24,42,0
Chiefs,12,20,34,1
Patriots,12,25,38,0
Giants,12,16,30,1
Cardinals,12,11,24,1
Packers,11,33,47,0
Vikings,11,18,34,1
Saints,11,22,36,0
Bears,10,19,30,0
Oilers,10,13,25,0
Falcons,8,25,35,0
Jets,8,18,29,0
Buccaneers,8,17,26,1
Raiders,7,22,32,1
Rams,6,23,31,2
Bengals,5,21,27,2
Redskins,5,25,35,1
