Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,286,1227,4.3,4,66,23.1
Browns,306,1285,4.2,13,61,19.9
Falcons,329,1294,3.9,4,64,19.4
Bears,275,948,3.4,6,58,21.1
Eagles,258,1084,4.2,7,68,26.4
49ers,243,948,3.9,6,66,27.2
Lions,296,1117,3.8,11,66,22.3
Jaguars,274,1117,4.1,10,66,24.1
Cardinals,408,1811,4.4,16,105,25.7
Cowboys,313,1272,4.1,10,68,21.7
Saints,335,1506,4.5,9,78,23.3
Colts,379,1599,4.2,17,98,25.9
Bills,300,1400,4.7,8,65,21.7
Giants,340,1633,4.8,18,93,27.4
Dolphins,299,1159,3.9,11,78,26.1
Texans,324,1164,3.6,14,82,25.3
Steelers,339,1452,4.3,8,72,21.2
Rams,321,1333,4.2,11,81,25.2
Broncos,346,1796,5.2,12,89,25.7
Patriots,330,1064,3.2,9,65,19.7
Titans,346,1274,3.7,8,73,21.1
Chiefs,297,1376,4.6,7,75,25.2
Chargers,319,1365,4.3,13,76,23.8
Panthers,354,1502,4.2,20,90,25.4
Packers,366,1635,4.5,11,95,26
Buccaneers,302,1188,3.9,9,73,24.2
Raiders,347,1524,4.4,12,88,25.4
Commanders,339,1480,4.4,10,80,23.6
Vikings,309,1152,3.7,7,73,23.6
Seahawks,339,1431,4.2,15,86,25.4
Bengals,332,1607,4.8,14,97,29.2
Jets,399,1633,4.1,7,83,20.8
