Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Browns,152,42,7,4,61,19.9,663
Giants,154,54,14,7,93,27.4,767
Panthers,152,54,8,6,90,25.4,724
Saints,159,58,11,5,78,23.3,737
Commanders,175,71,17,11,80,23.6,822
Cardinals,162,75,14,6,105,25.7,839
Chargers,156,54,30,17,76,23.8,806
Colts,176,67,18,11,98,25.9,832
Texans,158,62,16,8,82,25.3,760
Buccaneers,161,68,17,8,73,24.2,773
Cowboys,157,58,27,13,68,21.7,717
Lions,139,52,18,10,66,22.3,726
Bears,152,70,15,8,58,21.1,726
Steelers,170,68,13,6,72,21.2,787
Eagles,165,78,26,13,68,26.4,775
Falcons,157,52,13,7,64,19.4,754
Patriots,167,64,12,8,65,19.7,768
Jets,179,74,6,4,83,20.8,804
Packers,169,70,23,11,95,26,785
Jaguars,157,58,28,13,66,24.1,754
Rams,165,66,18,11,81,25.2,766
Vikings,170,71,17,11,73,23.6,767
Bills,156,60,16,9,65,21.7,730
Bengals,153,67,10,4,97,29.2,764
Ravens,177,64,22,8,66,23.1,779
Chiefs,150,57,19,8,75,25.2,718
Titans,165,63,16,11,73,21.1,769
Broncos,143,50,25,13,89,25.7,767
Seahawks,166,75,19,7,86,25.4,821
Raiders,154,65,15,7,88,25.4,769
Dolphins,156,57,22,10,78,26.1,741
49ers,153,63,17,7,66,27.2,743
