Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Commanders,448,288,64.3,8.1,3613,30,6,159,35.5,35
Chiefs,382,238,62.3,6.3,2422,16,6,122,31.9,39
Vikings,426,298,70,6.9,2923,15,9,140,32.9,32
Saints,383,227,59.3,6.5,2486,16,14,117,30.6,19
Bengals,400,261,65.2,8.1,3236,15,12,146,36.5,32
Panthers,351,225,64.1,6.6,2304,14,6,119,33.9,19
Chargers,446,296,66.4,7.8,3481,17,6,157,35.2,41
Browns,323,181,56,6.4,2078,13,9,81,25.1,34
Bills,389,261,67.1,6.9,2674,16,11,136,35,41
Cowboys,366,218,59.6,6.6,2410,17,13,112,30.6,38
Lions,405,256,63.2,7.3,2964,20,9,145,35.8,25
Colts,411,260,63.3,7.1,2919,13,12,129,31.4,42
Texans,409,279,68.2,7.7,3135,12,11,130,31.8,27
Rams,418,254,60.8,6.8,2826,13,6,133,31.8,27
Cardinals,399,279,69.9,7.6,3041,22,9,159,39.8,32
Jaguars,454,302,66.5,7.3,3310,19,12,146,32.2,26
Jets,374,232,62,6.2,2306,14,12,118,31.6,31
Seahawks,446,295,66.1,6.8,3048,17,8,149,33.4,36
Buccaneers,436,285,65.4,7.6,3330,16,10,153,35.1,35
Packers,390,251,64.4,6.7,2624,13,6,131,33.6,29
Patriots,414,272,65.7,6.8,2815,13,6,135,32.6,24
Eagles,483,313,64.8,6.9,3341,27,6,166,34.4,34
Dolphins,401,270,67.3,6.8,2717,16,10,123,30.7,41
Raiders,394,271,68.8,7,2755,15,10,135,34.3,28
Steelers,414,245,59.2,7.1,2938,14,12,132,31.9,34
Falcons,399,246,61.6,6.7,2663,17,7,129,32.3,26
Bears,434,297,68.4,6.9,2979,23,13,147,33.9,17
Giants,406,255,62.8,7.1,2900,14,12,129,31.8,21
Titans,391,263,67.3,7.6,2992,14,3,130,33.2,32
Broncos,393,267,67.9,7.7,3029,20,10,137,34.9,28
Ravens,446,270,60.5,5.5,2434,10,11,117,26.2,47
49ers,464,305,65.7,6.2,2885,12,15,137,29.5,36
