Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Vikings,105,80,76.2,7.5,785,7,1,35,33.3,6
Panthers,91,60,65.9,6.3,577,2,2,31,34.1,10
Rams,100,59,59,5.4,543,1,1,30,30,5
Patriots,99,61,61.6,5.4,531,2,1,29,29.3,7
Bengals,95,58,61,6.3,602,4,3,33,34.7,9
Chargers,119,80,67.2,8.5,1011,7,2,47,39.5,9
Texans,97,71,73.2,6.9,670,2,2,34,35,4
Chiefs,99,56,56.6,5.4,534,2,1,30,30.3,8
Colts,110,76,69.1,6.8,752,4,1,35,31.8,12
Jaguars,110,73,66.4,7.2,793,5,2,35,31.8,5
Bills,75,49,65.3,5.7,427,2,7,25,33.3,12
Broncos,93,72,77.4,9,842,9,1,38,40.9,4
Saints,111,60,54,5.1,565,2,4,29,26.1,8
Steelers,113,69,61.1,6.2,706,5,4,37,32.7,13
Cowboys,78,46,59,5,392,2,5,19,24.4,12
Lions,118,74,62.7,5.7,676,4,1,37,31.4,8
Dolphins,113,77,68.1,6.1,694,3,2,33,29.2,8
Seahawks,131,86,65.6,7.5,984,5,1,51,38.9,5
Browns,87,42,48.3,3.8,335,1,1,14,16.1,9
Giants,93,59,63.4,7.2,671,3,0,32,34.4,2
Commanders,94,59,62.8,6.5,609,4,2,27,28.7,10
Packers,103,66,64.1,5.8,599,3,2,31,30.1,9
Raiders,99,74,74.8,6.7,661,7,0,38,38.4,5
Eagles,123,81,65.8,6.4,785,8,2,47,38.2,6
Buccaneers,110,72,65.4,7,768,4,5,37,33.6,9
49ers,134,87,64.9,4.6,616,2,5,32,23.9,8
Falcons,96,56,58.3,5.3,510,5,3,30,31.2,3
Bears,99,68,68.7,8.7,857,7,2,36,36.4,1
Ravens,129,82,63.6,4.6,600,3,1,35,27.1,11
Jets,108,75,69.4,6.2,666,4,3,36,33.3,6
Titans,107,77,72,7.7,826,5,1,38,35.5,10
Cardinals,108,70,64.8,6.5,699,4,3,36,33.3,11
